IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 6.726747658384189983e-04
2.442002442002442000e-04 5.005005005010000098e-03 1.660319152151980560e-01
4.884004884004884001e-04 6.006006006010000155e-03 2.909361993156544535e-01
7.326007326007326001e-04 7.007007007010000212e-03 4.642203300688528267e-01
9.768009768009768001e-04 8.008008008009999401e-03 6.837725715770569535e-01
1.221001221001221000e-03 8.008008008009999401e-03 6.837725715770569535e-01
1.465201465201465200e-03 9.009009009009999458e-03 9.376847214288811516e-01
1.709401709401709400e-03 1.001001001000000057e-02 1.208160301766921352e+00
1.953601953601953600e-03 1.001001001000000057e-02 1.208160301766921352e+00
2.197802197802197800e-03 1.101101101100000063e-02 1.475213322001892813e+00
2.442002442002442000e-03 1.101101101100000063e-02 1.475213322001892813e+00
2.686202686202686200e-03 1.201201201200000068e-02 1.719638215680636018e+00
2.930402930402930400e-03 1.201201201200000068e-02 1.719638215680636018e+00
3.174603174603174600e-03 1.301301301300000074e-02 1.927082311403487624e+00
3.418803418803418800e-03 1.301301301300000074e-02 1.927082311403487624e+00
3.663003663003663000e-03 1.401401401400000080e-02 2.092235158692515196e+00
3.907203907203907201e-03 1.501501501500000085e-02 2.216170077859395793e+00
4.151404151404151401e-03 1.601601601600000091e-02 2.304394048163108888e+00
4.395604395604395601e-03 1.901901901900000108e-02 2.445472878578665021e+00
4.639804639804639801e-03 2.202202202200000125e-02 2.564166397920899509e+00
4.884004884004884001e-03 2.502502502500000142e-02 2.756944817912290624e+00
5.128205128205128201e-03 2.602602602600000148e-02 2.832409972818575206e+00
5.372405372405372401e-03 2.802802802800000159e-02 2.981841276426994369e+00
5.616605616605616601e-03 3.003003003000000171e-02 3.118289160316348063e+00
5.860805860805860801e-03 3.203203203200000182e-02 3.240542582268590710e+00
6.105006105006105001e-03 3.503503503500000199e-02 3.410249737447835550e+00
6.349206349206349201e-03 3.703703703700000210e-02 3.519040937901573685e+00
6.593406593406593401e-03 4.004004004000000227e-02 3.670740669272885892e+00
6.837606837606837601e-03 4.204204204200000239e-02 3.768687123247879356e+00
7.081807081807081801e-03 4.504504504500000256e-02 3.937379385590805025e+00
7.326007326007326001e-03 4.704704704700000267e-02 4.069015728938403242e+00
7.570207570207570201e-03 4.904904904900000279e-02 4.209882095807416569e+00
7.814407814407814401e-03 5.105105105109999930e-02 4.357574233523541452e+00
8.058608058608057734e-03 5.205205205209999936e-02 4.433821330162453833e+00
8.302808302808302801e-03 5.405405405409999947e-02 4.588473546039207207e+00
8.547008547008547868e-03 5.605605605609999958e-02 4.736375870906952557e+00
8.791208791208791201e-03 5.805805805809999970e-02 4.873180010636540160e+00
9.035409035409034534e-03 6.006006006009999981e-02 5.008543951036899422e+00
9.279609279609279601e-03 6.206206206209999993e-02 5.154431286801209211e+00
9.523809523809524669e-03 6.406406406409999310e-02 5.313442799384294091e+00
9.768009768009768001e-03 6.506506506510000010e-02 5.397012679810894831e+00
1.001221001221001133e-02 6.706706706710000021e-02 5.572841061539430818e+00
1.025641025641025640e-02 6.806806806809999333e-02 5.664878373112973264e+00
1.050061050061050147e-02 7.007007007009999344e-02 5.854362469926822854e+00
1.074481074481074480e-02 7.107107107110000044e-02 5.949831826583110050e+00
1.098901098901098813e-02 7.207207207209999356e-02 6.044870565157514974e+00
1.123321123321123320e-02 7.407407407409999367e-02 6.234439267991172429e+00
1.147741147741147827e-02 7.507507507510000067e-02 6.329675673544273629e+00
1.172161172161172160e-02 7.707707707710000078e-02 6.520418616874653850e+00
1.196581196581196493e-02 7.807807807809999390e-02 6.614157533820520740e+00
1.221001221001221000e-02 8.008008008009999401e-02 6.791702696888994417e+00
1.245421245421245507e-02 8.108108108110000101e-02 6.874557789239486461e+00
1.269841269841269840e-02 8.308308308310000112e-02 7.032056257848116054e+00
1.294261294261294173e-02 8.508508508510000123e-02 7.192530733711851809e+00
1.318681318681318680e-02 8.608608608609999435e-02 7.278919550128374105e+00
1.343101343101343187e-02 8.808808808809999447e-02 7.467295421905467023e+00
1.367521367521367520e-02 8.908908908910000146e-02 7.567840001541433992e+00
1.391941391941391853e-02 9.009009009009999458e-02 7.670362009761452882e+00
1.416361416361416360e-02 9.209209209209999469e-02 7.872860637028300523e+00
1.440781440781440867e-02 9.309309309310000169e-02 7.970225472043534154e+00
1.465201465201465200e-02 9.409409409409999481e-02 8.064513759018046457e+00
1.489621489621489533e-02 9.609609609609999492e-02 8.249036832009235098e+00
1.514041514041514040e-02 9.709709709710000192e-02 8.343685168816103115e+00
1.538461538461538547e-02 9.909909909910000203e-02 8.543729462715651479e+00
1.562881562881562880e-02 1.001001001000000057e-01 8.649355335718164284e+00
1.587301587301587213e-02 1.011011011009999988e-01 8.756505634670595839e+00
1.611721611721611547e-02 1.021021021020000058e-01 8.864127147418416897e+00
1.636141636141636227e-02 1.041041041040000059e-01 9.080992104456132807e+00
1.660561660561660560e-02 1.051051051049999990e-01 9.189924441409271338e+00
1.684981684981684893e-02 1.061061061060000060e-01 9.300073511568257345e+00
1.709401709401709574e-02 1.071071071069999991e-01 9.410731356042470352e+00
1.733821733821733907e-02 1.091091091089999993e-01 9.627644117377895938e+00
1.758241758241758240e-02 1.101101101100000063e-01 9.734452198259814892e+00
1.782661782661782574e-02 1.111111111109999994e-01 9.841061473965645234e+00
1.807081807081806907e-02 1.121121121120000064e-01 9.949885302750031357e+00
1.831501831501831587e-02 1.141141141140000065e-01 1.018380728862142881e+01
1.855921855921855920e-02 1.151151151149999996e-01 1.030871764310866290e+01
1.880341880341880254e-02 1.161161161160000066e-01 1.043709987959353391e+01
1.904761904761904934e-02 1.171171171169999997e-01 1.056603490069972473e+01
1.929181929181929267e-02 1.181181181180000067e-01 1.069246550774541760e+01
1.953601953601953600e-02 1.191191191189999998e-01 1.081476787219277114e+01
1.978021978021977934e-02 1.201201201200000068e-01 1.093222758536505346e+01
2.002442002442002267e-02 1.211211211209999999e-01 1.104534431599686783e+01
2.026862026862026947e-02 1.221221221220000069e-01 1.115552222049429787e+01
2.051282051282051280e-02 1.241241241239999932e-01 1.137395181979482039e+01
2.075702075702075614e-02 1.251251251249999863e-01 1.148650969541694877e+01
2.100122100122100294e-02 1.261261261259999933e-01 1.160291733463123265e+01
2.124542124542124627e-02 1.271271271270000003e-01 1.172304194772120844e+01
2.148962148962148960e-02 1.281281281280000073e-01 1.184601433114051439e+01
2.173382173382173294e-02 1.291291291289999865e-01 1.196965673353239090e+01
2.197802197802197627e-02 1.301301301299999935e-01 1.209046426516925088e+01
2.222222222222222307e-02 1.321321321320000075e-01 1.231787120813641678e+01
2.246642246642246640e-02 1.331331331329999867e-01 1.242608041023368770e+01
2.271062271062270974e-02 1.341341341339999937e-01 1.253437459774914942e+01
2.295482295482295654e-02 1.351351351350000007e-01 1.264740710176178595e+01
2.319902319902319987e-02 1.361361361360000077e-01 1.276903868844045142e+01
2.344322344322344320e-02 1.371371371369999870e-01 1.290081540948898109e+01
2.368742368742368654e-02 1.381381381379999940e-01 1.304209721847207781e+01
2.393162393162392987e-02 1.391391391390000010e-01 1.319020973049155998e+01
2.417582417582417667e-02 1.401401401400000080e-01 1.334167081977127367e+01
2.442002442002442000e-02 1.411411411409999872e-01 1.349232416817251057e+01
2.466422466422466334e-02 1.421421421419999942e-01 1.363911940619884966e+01
2.490842490842491014e-02 1.431431431430000012e-01 1.378083107446320987e+01
2.515262515262515347e-02 1.441441441440000082e-01 1.391902760922201132e+01
2.539682539682539680e-02 1.451451451449999874e-01 1.405546866392391259e+01
2.564102564102564014e-02 1.461461461459999944e-01 1.419329414627478059e+01
2.588522588522588347e-02 1.471471471470000014e-01 1.433656476581706762e+01
2.612942612942613027e-02 1.481481481480000084e-01 1.448774889368800878e+01
2.637362637362637360e-02 1.491491491489999877e-01 1.464628008689497918e+01
2.661782661782661694e-02 1.491491491489999877e-01 1.464628008689497918e+01
2.686202686202686374e-02 1.501501501499999947e-01 1.481102394185644933e+01
2.710622710622710707e-02 1.511511511510000016e-01 1.497971203080871128e+01
2.735042735042735040e-02 1.521521521520000086e-01 1.514775514113621213e+01
2.759462759462759374e-02 1.531531531529999879e-01 1.531229943212358968e+01
2.783882783882783707e-02 1.531531531529999879e-01 1.531229943212358968e+01
2.808302808302808387e-02 1.541541541539999949e-01 1.547254968306655876e+01
2.832722832722832720e-02 1.551551551550000019e-01 1.562841218236498264e+01
2.857142857142857054e-02 1.561561561560000089e-01 1.577993587251446073e+01
2.881562881562881734e-02 1.571571571569999881e-01 1.592905341299423760e+01
2.905982905982906067e-02 1.581581581579999951e-01 1.607526437627090132e+01
2.930402930402930400e-02 1.591591591590000021e-01 1.621734292355751705e+01
2.954822954822954734e-02 1.601601601600000091e-01 1.635432082811802701e+01
2.979242979242979067e-02 1.611611611609999883e-01 1.648672166083593993e+01
3.003663003663003747e-02 1.621621621619999953e-01 1.661537175314953885e+01
3.028083028083028080e-02 1.631631631630000023e-01 1.674461029360774234e+01
3.052503052503052414e-02 1.641641641640000093e-01 1.687915890514425143e+01
3.076923076923077094e-02 1.651651651649999886e-01 1.702331504239716509e+01
3.101343101343101427e-02 1.661661661659999956e-01 1.717924962753841100e+01
3.125763125763125760e-02 1.671671671670000026e-01 1.734747750527054322e+01
3.150183150183150094e-02 1.671671671670000026e-01 1.734747750527054322e+01
3.174603174603174427e-02 1.681681681680000096e-01 1.752515659625303712e+01
3.199023199023198760e-02 1.691691691689999888e-01 1.770869550774284917e+01
3.223443223443223093e-02 1.711711711710000028e-01 1.789353575845875710e+01
3.247863247863248121e-02 1.711711711710000028e-01 1.789353575845875710e+01
3.272283272283272454e-02 1.741741741739999960e-01 1.807604725694011449e+01
3.296703296703296787e-02 1.751751751750000030e-01 1.825369978998129383e+01
3.321123321123321120e-02 1.761761761760000100e-01 1.842631579876082526e+01
3.345543345543345454e-02 1.761761761760000100e-01 1.842631579876082526e+01
