intensity_in,R_out,G_out,B_out,X_R,X_G,X_B,Y_R,Y_G,Y_B,Z_R,Z_G,Z_B
0.000000000000000000e+00,7.843137254901960675e-03,3.921568627450980338e-03,1.176470588235294101e-02,7.510711976460048289e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.985117878232683930e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.227057882717677684e-01
3.921568627450980338e-03,9.555782406751249514e-02,9.834033258104846187e-02,1.082556482286082117e-01,5.804289978419737928e+00,8.000675417115425958e-01,1.453600149933940155e+00,2.775306552475302002e+00,5.403928131613062291e+00,1.194843811325944971e+00,5.611125121824835915e-01,2.293415506023396055e+00,8.404728925408591067e+00
7.843137254901960675e-03,1.348080054026299934e-01,1.302091193684941361e-01,1.410796206223136062e-01,9.599565367840554586e+00,1.001567318924593941e+00,2.544140332171422880e+00,4.097635612850532461e+00,8.162624742172978287e+00,2.088455517437718623e+00,-3.926716603391972732e-02,2.838439596753667526e+00,1.114454180407577510e+01
1.176470588235294101e-02,1.550710879295481848e-01,1.523186413646573367e-01,1.843310623899636069e-01,1.292637258195813033e+01,2.569405042283330332e+00,2.991527024122229150e+00,5.343298591734848557e+00,1.046669176429942993e+01,2.405012234075283306e+00,-2.407578850715587082e-01,4.495431503505340487e+00,1.686527510907901473e+01
1.568627450980392135e-02,1.784329423634745670e-01,1.697308979591003186e-01,1.998818959000887574e-01,1.438667537661847362e+01,3.186479138841626035e+00,3.630487289448207200e+00,6.191615477706088555e+00,1.252392100900729410e+01,2.957202689929459449e+00,2.017665559845152334e-01,5.447809866148413782e+00,1.848134869584781015e+01
1.960784313725490169e-02,1.952660526316471468e-01,1.775428976841154083e-01,2.297084103149635848e-01,1.578094843818432835e+01,3.114576112940440122e+00,3.978979375039058741e+00,7.064716490080974687e+00,1.496607571012001259e+01,3.216530466894260698e+00,8.402521273202939733e-01,5.915721478170382852e+00,2.422811762764155574e+01
2.352941176470588203e-02,2.124547230476145632e-01,2.028909710870536454e-01,2.461838305973309826e-01,1.764090984158047348e+01,4.313728551868185157e+00,4.469224532805596617e+00,7.800166678968533773e+00,1.561158998439848133e+01,3.601523780764203764e+00,7.108471288857300951e-01,6.821185461843554343e+00,2.795514552990029244e+01
2.745098039215686236e-02,2.263739779397992702e-01,2.156114286989109785e-01,2.617532381212253068e-01,1.969134882156044597e+01,4.329256285010183447e+00,4.909813738660570692e+00,8.540642838096992762e+00,1.725311431957121044e+01,3.951850788232981415e+00,4.407360463761985647e-01,7.292463926994108725e+00,3.080565409476666971e+01
3.137254901960784270e-02,2.378242900235364998e-01,2.250391191606559704e-01,2.755807983054988086e-01,2.108346864714161129e+01,4.359950343854181121e+00,5.305795355441192740e+00,9.290793363125281701e+00,1.889179416233059428e+01,4.289785673446524505e+00,8.117077166429595980e-01,7.754452308784801851e+00,2.979177336529816245e+01
3.529411764705882304e-02,2.454133065762138244e-01,2.361972473701088315e-01,2.931783128645554237e-01,2.311632955190120597e+01,4.817928827484101895e+00,5.597504194964258772e+00,1.012892663375721547e+01,2.024924871316466479e+01,4.536336154981193580e+00,7.691649163693926594e-01,8.343670260417672679e+00,3.155426464034209033e+01
3.921568627450980338e-02,2.496596855274240967e-01,2.467439603222619238e-01,2.992483879012977077e-01,2.571718329609799980e+01,5.230831484341269544e+00,6.083583606369266761e+00,1.106294119269179177e+01,2.153747102919324874e+01,4.938132535729018890e+00,4.006782773044030299e-01,8.919620679411245590e+00,3.703846151177565105e+01
4.313725490196078372e-02,2.539060644786343413e-01,2.572906732744150160e-01,3.012654778086559793e-01,2.823104257943217732e+01,5.609883199431813239e+00,6.680551768052361616e+00,1.196571443589546746e+01,2.272008119214374133e+01,5.395576793064400078e+00,4.451693587372380218e-02,9.448353034364702197e+00,4.441488923271220557e+01
4.705882352941176405e-02,2.581524434298446136e-01,2.678373862265680527e-01,3.269555990689311242e-01,3.066220034729568056e+01,5.959082848764074569e+00,6.396283311074428823e+00,1.283878803925283485e+01,2.380955536613721790e+01,5.197417950620197402e+00,-2.999273285973724779e-01,9.935445284814656830e+00,3.642637026339438933e+01
5.098039215686274439e-02,2.949763226034223251e-01,2.783840991787211450e-01,3.471452300133605617e-01,2.778790168193214072e+01,6.281823311128652776e+00,6.753613610903329345e+00,1.217237205087764274e+01,2.481647905383644925e+01,5.486328410856891935e+00,8.989215525022835607e-01,1.038563009578175311e+01,3.876715944103474243e+01
5.490196078431372473e-02,3.008604068475429494e-01,2.921213219179035758e-01,3.544793204974133749e-01,2.957197397884861445e+01,6.596874362282896698e+00,7.174295474390522287e+00,1.285233450078253448e+01,2.546865530749466799e+01,5.836220510355257574e+00,6.553909036716986103e-01,1.090779346461516930e+01,4.207182253589198240e+01
5.882352941176470507e-02,3.063759591626051826e-01,3.001457312106123321e-01,3.566368334169574550e-01,3.131168809010035758e+01,6.849510536177017883e+00,7.626347655984220708e+00,1.352245665778530004e+01,2.655830323973583518e+01,6.215264642192141586e+00,4.454469876221511804e-01,1.131738804939068288e+01,4.579502342531274195e+01
6.274509803921568540e-02,3.097448166811679893e-01,3.074063498349205448e-01,3.587943463365014796e-01,3.314045094779194756e+01,7.102773692933105565e+00,8.072963250117416223e+00,1.426707545272697963e+01,2.765975862202149571e+01,6.589750214955476082e+00,3.813765550119312953e-01,1.170457346255800779e+01,4.947344738832426003e+01
6.666666666666666574e-02,3.131136741997308515e-01,3.149158675603971891e-01,3.609518592560455597e-01,3.492986169785967832e+01,7.331874647077012419e+00,8.514239744923637332e+00,1.499567121940447123e+01,2.868769235098913128e+01,6.959758972095334784e+00,3.186848175939167027e-01,1.206491793275719537e+01,5.310789735857056115e+01
7.058823529411764608e-02,3.164825317182936582e-01,3.240959797303874512e-01,3.631093721755895842e-01,3.668117701291915722e+01,7.467884906904444620e+00,8.950272311527557534e+00,1.570875563818394305e+01,2.951481725469717077e+01,7.325370714258188976e+00,2.573277480313810317e-01,1.234823127914581953e+01,5.669915718630271328e+01
7.450980392156862642e-02,3.198513892368565203e-01,3.328033438769045782e-01,3.652668850951336643e-01,3.839560062161093157e+01,7.657253000554656630e+00,9.381153872474092381e+00,1.640681883219207648e+01,3.033941181842805790e+01,7.686663356664446667e+00,1.972631738718259309e-01,1.268165634955007981e+01,6.024799220197585470e+01
7.843137254901960675e-02,3.232202467554193270e-01,3.408603938254022303e-01,3.674243980146777444e-01,4.007428606772087676e+01,7.919151388248735657e+00,9.806975167746609046e+00,1.709033049074924548e+01,3.118133402023363487e+01,8.043712984464491456e+00,1.384506808816147461e-01,1.308707517977434875e+01,6.375514975998957823e+01
8.235294117647058709e-02,3.602811784089228753e-01,3.489174437738999379e-01,4.199079263939281548e-01,3.696588591210947783e+01,8.168954488483068488e+00,9.098071802355622850e+00,1.604552662719392941e+01,3.198437361898372444e+01,7.390261117063235297e+00,7.298870057489992291e-01,1.347377049918844705e+01,5.424125752016178836e+01
8.627450980392156743e-02,3.707608661641896841e-01,3.608992459062480007e-01,4.310099580844840017e-01,3.752443785179963953e+01,8.295901433268928926e+00,9.296733717923196139e+00,1.637052625986257581e+01,3.184794122908025571e+01,7.542753897566426780e+00,9.337561251059920409e-01,1.349478579311296755e+01,5.430699990707540792e+01
9.019607843137254777e-02,3.797444352447736371e-01,3.689141101225532626e-01,4.415172990354835902e-01,3.812338056645474893e+01,8.671963596750739356e+00,9.471523362716910199e+00,1.672843990461559116e+01,3.313170661647662740e+01,7.697942682455391150e+00,1.073386632811527353e+00,1.405475464468503688e+01,5.545380098142326375e+01
9.411764705882352811e-02,3.846796846058850861e-01,3.758721493768827915e-01,4.514824347068501220e-01,3.979753553547170952e+01,8.778938227886737167e+00,9.667422263733673304e+00,1.723181460131766585e+01,3.393222449205043034e+01,7.855339230742048429e+00,7.891263675261501742e-01,1.429985980844409532e+01,5.583516373740942385e+01
9.803921568627450844e-02,3.907505204933702236e-01,3.828301886312122648e-01,4.582039076298674574e-01,4.073362222369432573e+01,8.882024274972858180e+00,9.920873673873185083e+00,1.767093243848078643e+01,3.470364312222798731e+01,8.062612386937292541e+00,8.578687342265955973e-01,1.453605527071397852e+01,5.820847896101115992e+01
1.019607843137254888e-01,3.968213563808553057e-01,3.880918560436307230e-01,4.626976017205783887e-01,4.164106716383921736e+01,9.188160035978089724e+00,1.019734967925500335e+01,1.809661444472493841e+01,3.560246399714804255e+01,8.303681080620457067e+00,9.245077684322284828e-01,1.494394982980162467e+01,6.032516912017272404e+01
1.058823529411764691e-01,4.009625022032225483e-01,3.929366240948933275e-01,4.702068945746770701e-01,4.279937084579735540e+01,9.356321147938729155e+00,1.041327171138917329e+01,1.859854747214009052e+01,3.651594059255091906e+01,8.485341639068526121e+00,9.218363063697707638e-01,1.525843578388656141e+01,6.130054176836743807e+01
1.098039215686274495e-01,4.029828356993976346e-01,3.953110802519272382e-01,4.827498270119258139e-01,4.424565574246048527e+01,9.561299076284713649e+00,1.051938101789445490e+01,1.919068627394606352e+01,3.764092446462865382e+01,8.570979687715935214e+00,8.452542691371072170e-01,1.564453865049317827e+01,6.095765616108046459e+01
1.137254901960784298e-01,4.048781568823394128e-01,3.976855364089611489e-01,4.900617999038159867e-01,4.570098781286679213e+01,9.763829286222771131e+00,1.073192797278087163e+01,1.978302380470862332e+01,3.875247448187857913e+01,8.744635436723854127e+00,7.823360334413382855e-01,1.602603091779492317e+01,6.246784667160346771e+01
1.176470588235294101e-01,4.066649785153522156e-01,4.118296727569411009e-01,4.964560555188642921e-01,4.716343491492470008e+01,9.969115613741557524e+00,1.096387415704330159e+01,2.037527619854939331e+01,3.863794569631366471e+01,8.929661653630725837e+00,7.311375744443968649e-01,1.617147352373655167e+01,6.408964143050778262e+01
1.215686274509803905e-01,4.170364535683499518e-01,4.144010079350683440e-01,5.037143229185930826e-01,4.740962357921910808e+01,1.005606913628006183e+01,1.116835843720452282e+01,2.053083903381543607e+01,3.972961420985031822e+01,9.094356092939406722e+00,8.534881172971340302e-01,1.642301515706455106e+01,6.509968060361325115e+01
1.254901960784313708e-01,4.396173235791871470e-01,4.177483683325570740e-01,5.101418862515506580e-01,4.603782559156826437e+01,1.020212649950636496e+01,1.138114990272115890e+01,2.010454289973083419e+01,4.070768950815762111e+01,9.269441246115999178e+00,1.189888390974172427e+00,1.673801946062660662e+01,6.629104083343960951e+01
1.294117647058823373e-01,4.418712715049715190e-01,4.218712699981919667e-01,5.122408882493046933e-01,4.727157461547145800e+01,1.040503794877304777e+01,1.166377426861634703e+01,2.062705355846528477e+01,4.156954077579938200e+01,9.519941054518396228e+00,1.118671511888764236e+00,1.711319685923427159e+01,6.855419329131456152e+01
1.333333333333333315e-01,4.459369903430537851e-01,4.318993938870633320e-01,5.166740395637413608e-01,4.833433833109441480e+01,1.072648202402407946e+01,1.190232304908921712e+01,2.105835494376377071e+01,4.174887788407453826e+01,9.724266166238594522e+00,1.047171284862592033e+00,1.741745780933191412e+01,7.015959113989924845e+01
1.372549019607843257e-01,4.527155188471997382e-01,4.327806681979355918e-01,5.267472988405377254e-01,4.906947322369049402e+01,1.092952176650091367e+01,1.203575176552861414e+01,2.135313693626246234e+01,4.290212068245057253e+01,9.818842381050789214e+00,1.048543737765639694e+00,1.779293039051521674e+01,7.021243512754776361e+01
1.411764705882352922e-01,4.559216022394550483e-01,4.336619425088077961e-01,5.316575448252900404e-01,5.016437336833468663e+01,1.113173628687919070e+01,1.225257296756389458e+01,2.180877909753160893e+01,4.405067631253822213e+01,1.000610557264573153e+01,1.049348049463761257e+00,1.816687692429708179e+01,7.177276347562921899e+01
1.450980392156862586e-01,4.573091209512780142e-01,4.345432168196800560e-01,5.423519264646042837e-01,5.152669306961652751e+01,1.133313060592789867e+01,1.235754389047195900e+01,2.234657058598072155e+01,4.519457329173810223e+01,1.008126656378402686e+01,9.528809686460725237e-01,1.853930669536764597e+01,7.175964706659969750e+01
1.490196078431372528e-01,4.586966396631009801e-01,4.354244911305523158e-01,5.471668039061023947e-01,5.288077096612560979e+01,1.153370970376903593e+01,1.255799363807763847e+01,2.288110852649091598e+01,4.633383990658048646e+01,1.026262397872201682e+01,8.569974974218946828e-01,1.891022891325029320e+01,7.339699774788671505e+01
1.529411764705882470e-01,4.732445497437683390e-01,4.363057654414245756e-01,5.530945760688688040e-01,5.192940076389660931e+01,1.173347852028809690e+01,1.274176264068524844e+01,2.262594931532342102e+01,4.746850421505693873e+01,1.041980925422389070e+01,1.152014321689407872e+00,1.927965271306083750e+01,7.453950970116426333e+01
1.568627450980392135e-01,4.791186223500472630e-01,4.371870397522967799e-01,5.590223482316351022e-01,5.297994347112364011e+01,1.193244195553963216e+01,1.292163433656985383e+01,2.305876073552327554e+01,4.859859404892367252e+01,1.057366100109864249e+01,1.116445499949867193e+00,1.964758715625741559e+01,7.565779167303344366e+01
1.607843137254901800e-01,4.840687023785777421e-01,4.380683140631690398e-01,5.655413453625551812e-01,5.377466751920755428e+01,1.213060487014787014e+01,1.311336643851372408e+01,2.339353621289191665e+01,4.972413701597719182e+01,1.071307283185693748e+01,1.106930786813458356e+00,2.001404123138140889e+01,7.662565592308833118e+01
1.647058823529411742e-01,4.869191394948991225e-01,4.389495883740412996e-01,5.675295852976395272e-01,5.484067998533053867e+01,1.232797208570256409e+01,1.337186746583016372e+01,2.382382375145876097e+01,5.084516050230254791e+01,1.093592052843630036e+01,1.068681712184907262e+00,2.037902385478941625e+01,7.859185322503026327e+01
1.686274509803921684e-01,4.897695766112205584e-01,4.629537565745722172e-01,5.695178252327237622e-01,5.589428416133095112e+01,1.166965621838003031e+01,1.362856359067296985e+01,2.424910278141587128e+01,4.577387365275792064e+01,1.115721226075906181e+01,1.030877853376990005e+00,1.891081452115252759e+01,8.054432217002613470e+01
1.725490196078431349e-01,4.999388638060730528e-01,4.632526714936817114e-01,5.715060651678081083e-01,5.542488431571707252e+01,1.195805893032540723e+01,1.388347365052819171e+01,2.415501507339210363e+01,4.717998970886729637e+01,1.137696426818186346e+01,1.278854338368052623e+00,1.938092860437382470e+01,8.248320603879952273e+01
1.764705882352941013e-01,5.021727631668279068e-01,4.635515864127912056e-01,5.889575608545303265e-01,5.661555581312590846e+01,1.224608969715900031e+01,1.378561072080226424e+01,2.465492761007445921e+01,4.858429233544914183e+01,1.129075733890071653e+01,1.255366308472834591e+00,1.985043639428375783e+01,8.019199954269383568e+01
1.803921568627450955e-01,5.044066625275827054e-01,4.638505013319006998e-01,5.919321381319161413e-01,5.779568089830615918e+01,1.253374923794833329e+01,1.400908963465009016e+01,2.515041215490384729e+01,4.998678503833863829e+01,1.148366389435753021e+01,1.232086324580440984e+00,2.031933906300640658e+01,8.202120970739665040e+01
1.843137254901960898e-01,5.077298581345018880e-01,4.641494162510101940e-01,5.987754080157340342e-01,5.880627609191689231e+01,1.282103826990858764e+01,1.415560177686809595e+01,2.556725936469842964e+01,5.138747131433991200e+01,1.159921140657269945e+01,1.182042966912434823e+00,2.078763777964645953e+01,8.225470631077004668e+01
1.882352941176470562e-01,5.105002170095439551e-01,4.644483311701196881e-01,6.020732478594249537e-01,5.978487489811607958e+01,1.310795750840857465e+01,1.436291998810019521e+01,2.596954432204693575e+01,5.278635465125501725e+01,1.178111697854982864e+01,1.128956140731839364e+00,2.125533371029888841e+01,8.391091841328187684e+01
1.921568627450980227e-01,5.116251469831866183e-01,4.647472460892291823e-01,6.050371636447356982e-01,6.093571726175309067e+01,1.339450766697667028e+01,1.458236663028766600e+01,2.645228666683630436e+01,5.418343852791288384e+01,1.196764201908590763e+01,1.105863307065572121e+00,2.172242801805862555e+01,8.564419781791427511e+01
1.960784313725490169e-01,5.127500769568291705e-01,4.650461610083386765e-01,6.077205512386018027e-01,6.208150992524193157e+01,1.368068945730672326e+01,1.481196396637832358e+01,2.693291082049278984e+01,5.557872641419820781e+01,1.215795810712738323e+01,1.082871800817613028e+00,2.218892186303025937e+01,8.708438097530934385e+01
