intensity_in R_out G_out B_out
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.921568627450980338e-03 8.055974814418633001e-02 6.262242910851495425e-02 9.937449274408788336e-02
7.843137254901960675e-03 1.103951301981909022e-01 8.856148855400952646e-02 1.326490334027393969e-01
1.176470588235294101e-02 1.327368164678596474e-01 1.084652289093280819e-01 1.570635638623674724e-01
1.568627450980392135e-02 1.512800753753971716e-01 1.252448582170299085e-01 1.770652164031086828e-01
1.960784313725490169e-02 1.674294066447923335e-01 1.400280084028009686e-01 1.943177291871090451e-01
2.352941176470588203e-02 1.818960271553457797e-01 1.533929977694740987e-01 2.096547046814684623e-01
2.745098039215686236e-02 1.950983392514539227e-01 1.656833739159027929e-01 2.235625775583018338e-01
3.137254901960784270e-02 2.073068002592100278e-01 1.771229771080190529e-01 2.363537076421111660e-01
3.529411764705882304e-02 2.187080130201939920e-01 1.878672873255448350e-01 2.482424051881826632e-01
3.921568627450980338e-02 2.294370522667971701e-01 1.980295085953348577e-01 2.593830492907728824e-01
4.313725490196078372e-02 2.395953644023361973e-01 2.076951008135742849e-01 2.698910877274687259e-01
4.705882352941176405e-02 2.492613999290064497e-01 2.169304578186561638e-01 2.798554554230729963e-01
5.098039215686274439e-02 2.584972856910653927e-01 2.257883791448593302e-01 2.893463366849220453e-01
5.490196078431372473e-02 2.673532013104906180e-01 2.343116744516024474e-01 2.984202384258006213e-01
5.882352941176470507e-02 2.758703562647155105e-01 2.425356250363329691e-01 3.071234300170601617e-01
6.274509803921568540e-02 2.840830778743864693e-01 2.504897164340598170e-01 3.154943486415426324e-01
6.666666666666666574e-02 2.920203143062026774e-01 2.581988897471610978e-01 3.235653259621638078e-01
7.058823529411764608e-02 2.997067410084044981e-01 2.656844656620285794e-01 3.313638559402123374e-01
7.450980392156862642e-02 3.071635912731040530e-01 2.729648400830565480e-01 3.389135442529567221e-01
7.843137254901960675e-02 3.144092905050879794e-01 2.800560168056019372e-01 3.462348316894741096e-01
8.235294117647058709e-02 3.214599480134213150e-01 2.869720215917757056e-01 3.533455538534343021e-01
8.627450980392156743e-02 3.283297435431182798e-01 2.937252284090040022e-01 3.602613801839263385e-01
9.019607843137254777e-02 3.350312348028451903e-01 3.003266195850320397e-01 3.669961625758360602e-01
9.411764705882352811e-02 3.415756048454305915e-01 3.067859955389481974e-01 3.735622153056233352e-01
9.803921568627450844e-02 3.479728630637510811e-01 3.131121455425747158e-01 3.799705420753565210e-01
1.019607843137254888e-01 3.542320099942306011e-01 3.193129880128985354e-01 3.862310218651350269e-01
