intensity_in,intensity_out,luminance
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.921568627450980338e-03,8.055974814418633001e-02,5.882352941176470784e-01
7.843137254901960675e-03,1.103951301981909022e-01,1.176470588235294157e+00
1.176470588235294101e-02,1.327368164678596474e-01,1.764705882352941124e+00
1.568627450980392135e-02,1.512800753753971716e-01,2.352941176470588314e+00
1.960784313725490169e-02,1.674294066447923335e-01,2.941176470588235503e+00
2.352941176470588203e-02,1.818960271553457797e-01,3.529411764705882248e+00
2.745098039215686236e-02,1.950983392514539227e-01,4.117647058823529882e+00
3.137254901960784270e-02,2.073068002592100278e-01,4.705882352941176627e+00
3.529411764705882304e-02,2.187080130201939920e-01,5.294117647058823373e+00
3.921568627450980338e-02,2.294370522667971701e-01,5.882352941176471006e+00
4.313725490196078372e-02,2.395953644023361973e-01,6.470588235294117752e+00
4.705882352941176405e-02,2.492613999290064497e-01,7.058823529411764497e+00
5.098039215686274439e-02,2.584972856910653927e-01,7.647058823529412130e+00
5.490196078431372473e-02,2.673532013104906180e-01,8.235294117647059764e+00
5.882352941176470507e-02,2.758703562647155105e-01,8.823529411764706509e+00
6.274509803921568540e-02,2.840830778743864693e-01,9.411764705882353255e+00
6.666666666666666574e-02,2.920203143062026774e-01,1.000000000000000000e+01
7.058823529411764608e-02,2.997067410084044981e-01,1.058823529411764675e+01
7.450980392156862642e-02,3.071635912731040530e-01,1.117647058823529527e+01
7.843137254901960675e-02,3.144092905050879794e-01,1.176470588235294201e+01
8.235294117647058709e-02,3.214599480134213150e-01,1.235294117647058876e+01
8.627450980392156743e-02,3.283297435431182798e-01,1.294117647058823550e+01
9.019607843137254777e-02,3.350312348028451903e-01,1.352941176470588225e+01
9.411764705882352811e-02,3.415756048454305915e-01,1.411764705882352899e+01
9.803921568627450844e-02,3.479728630637510811e-01,1.470588235294117752e+01
1.019607843137254888e-01,3.542320099942306011e-01,1.529411764705882426e+01
1.058823529411764691e-01,3.603611735770647084e-01,1.588235294117647101e+01
1.098039215686274495e-01,3.663677226839082701e-01,1.647058823529411953e+01
1.137254901960784298e-01,3.722583623767570793e-01,1.705882352941176450e+01
1.176470588235294101e-01,3.780392143624442536e-01,1.764705882352941302e+01
1.215686274509803905e-01,3.837158853572646966e-01,1.823529411764705799e+01
1.254901960784313708e-01,3.892935255074890799e-01,1.882352941176470651e+01
1.294117647058823373e-01,3.947768785759038779e-01,1.941176470588235503e+01
1.333333333333333315e-01,4.001703252677848432e-01,2.000000000000000000e+01
1.372549019607843257e-01,4.054779208071871421e-01,2.058823529411764852e+01
1.411764705882352922e-01,4.107034276681261753e-01,2.117647058823529349e+01
1.450980392156862586e-01,4.158503442018653962e-01,2.176470588235294201e+01
1.490196078431372528e-01,4.209219297712676888e-01,2.235294117647059053e+01
1.529411764705882470e-01,4.259212268986095618e-01,2.294117647058823550e+01
1.568627450980392135e-01,4.308510808488027477e-01,2.352941176470588402e+01
1.607843137254901800e-01,4.357141570013470799e-01,2.411764705882352899e+01
1.647058823529411742e-01,4.405129563082716970e-01,2.470588235294117752e+01
1.686274509803921684e-01,4.452498290892703547e-01,2.529411764705882604e+01
1.725490196078431349e-01,4.499269873772177575e-01,2.588235294117647101e+01
1.764705882352941013e-01,4.545465159957203238e-01,2.647058823529411953e+01
1.803921568627450955e-01,4.591103825240778757e-01,2.705882352941176450e+01
1.843137254901960898e-01,4.636204462830457729e-01,2.764705882352941302e+01
1.882352941176470562e-01,4.680784664563076292e-01,2.823529411764705799e+01
1.921568627450980227e-01,4.724861094469828826e-01,2.882352941176470651e+01
1.960784313725490169e-01,4.768449555552920494e-01,2.941176470588235503e+01
2.000000000000000111e-01,4.811565050522864095e-01,3.000000000000000000e+01
2.039215686274509776e-01,4.854221837149825802e-01,3.058823529411764852e+01
2.078431372549019440e-01,4.896433478800568673e-01,3.117647058823529349e+01
2.117647058823529382e-01,4.938212890662300181e-01,3.176470588235294201e+01
2.156862745098039325e-01,4.979572382094258343e-01,3.235294117647058698e+01
2.196078431372548989e-01,5.020523695495628935e-01,3.294117647058823906e+01
2.235294117647058654e-01,5.061078042033204660e-01,3.352941176470588402e+01
2.274509803921568596e-01,5.101246134532897436e-01,3.411764705882352899e+01
2.313725490196078538e-01,5.141038217805093957e-01,3.470588235294118107e+01
2.352941176470588203e-01,5.180464096643974115e-01,3.529411764705882604e+01
2.392156862745097867e-01,5.219533161714866587e-01,3.588235294117647101e+01
2.431372549019607809e-01,5.258254413520817572e-01,3.647058823529411598e+01
2.470588235294117752e-01,5.296636484619459129e-01,3.705882352941176805e+01
2.509803921568627416e-01,5.334687660243562224e-01,3.764705882352941302e+01
2.549019607843137081e-01,5.372415897463028722e-01,3.823529411764705799e+01
2.588235294117646745e-01,5.409828843012266519e-01,3.882352941176471006e+01
2.627450980392156965e-01,5.446933849894636248e-01,3.941176470588235503e+01
2.666666666666666630e-01,5.483737992864812227e-01,4.000000000000000000e+01
2.705882352941176294e-01,5.520248082880201412e-01,4.058823529411764497e+01
2.745098039215686514e-01,5.556470680603972090e-01,4.117647058823529704e+01
2.784313725490196179e-01,5.592412109034533563e-01,4.176470588235294201e+01
2.823529411764705843e-01,5.628078465329467983e-01,4.235294117647058698e+01
2.862745098039215508e-01,5.663475631885710460e-01,4.294117647058823906e+01
2.901960784313725172e-01,5.698609286732286838e-01,4.352941176470588402e+01
2.941176470588235392e-01,5.733484913286939211e-01,4.411764705882352899e+01
2.980392156862745057e-01,5.768107809523514984e-01,4.470588235294118107e+01
3.019607843137254721e-01,5.802483096592957468e-01,4.529411764705882604e+01
3.058823529411764941e-01,5.836615726937128823e-01,4.588235294117647101e+01
3.098039215686274606e-01,5.870510491931378860e-01,4.647058823529411598e+01
3.137254901960784270e-01,5.904172029088865514e-01,4.705882352941176805e+01
3.176470588235293935e-01,5.937604828856862804e-01,4.764705882352941302e+01
3.215686274509803599e-01,5.970813241032945085e-01,4.823529411764705799e+01
3.254901960784313819e-01,6.003801480826631565e-01,4.882352941176471006e+01
3.294117647058823484e-01,6.036573634590129966e-01,4.941176470588235503e+01
3.333333333333333148e-01,6.069133665239948572e-01,5.000000000000000000e+01
3.372549019607843368e-01,6.101485417389483912e-01,5.058823529411765207e+01
3.411764705882353033e-01,6.133632622211155905e-01,5.117647058823529704e+01
3.450980392156862697e-01,6.165578902045290022e-01,5.176470588235294201e+01
3.490196078431372362e-01,6.197327774771650422e-01,5.235294117647058698e+01
3.529411764705882026e-01,6.228882657958367819e-01,5.294117647058823906e+01
3.568627450980392246e-01,6.260246872801945583e-01,5.352941176470588402e+01
3.607843137254901911e-01,6.291423647871028368e-01,5.411764705882352899e+01
3.647058823529411575e-01,6.322416122665740490e-01,5.470588235294118107e+01
3.686274509803921795e-01,6.353227351003549739e-01,5.529411764705882604e+01
3.725490196078431460e-01,6.383860304241862904e-01,5.588235294117647101e+01
3.764705882352941124e-01,6.414317874346865400e-01,5.647058823529411598e+01
3.803921568627450789e-01,6.444602876817455694e-01,5.705882352941176805e+01
3.843137254901960453e-01,6.474718053472531265e-01,5.764705882352941302e+01
3.882352941176470673e-01,6.504666075109355461e-01,5.823529411764705799e+01
3.921568627450980338e-01,6.534449544040180635e-01,5.882352941176471006e+01
3.960784313725490002e-01,6.564070996513892142e-01,5.941176470588235503e+01
4.000000000000000222e-01,6.593532905028939295e-01,6.000000000000000000e+01
4.039215686274509887e-01,6.622837680543471883e-01,6.058823529411765207e+01
