IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.442002442002442000e-04 7.632093933460000479e-02 1.181638397439119803e-01
4.884004884004884001e-04 8.414872798429999523e-02 2.428691334967704729e-01
7.326007326007326001e-04 9.393346379649999967e-02 3.523004907760901028e-01
9.768009768009768001e-04 1.037181996090000002e-01 4.975817603786428789e-01
1.221001221001221000e-03 1.076320939329999948e-01 6.085574853159270159e-01
1.465201465201465200e-03 1.115459882579999951e-01 7.188310832002704487e-01
1.709401709401709400e-03 1.154598825829999953e-01 8.068446695369172472e-01
1.953601953601953600e-03 1.213307240700000067e-01 9.256917020699299004e-01
2.197802197802197800e-03 1.252446183950000069e-01 1.044756144502599238e+00
2.442002442002442000e-03 1.291585127200000072e-01 1.202129057723933858e+00
2.686202686202686200e-03 1.311154598829999962e-01 1.283872952426238889e+00
2.930402930402930400e-03 1.330724070450000074e-01 1.366373772168455236e+00
3.174603174603174600e-03 1.369863013700000076e-01 1.570909486199504990e+00
3.418803418803418800e-03 1.389432485319999910e-01 1.730792414532597245e+00
3.663003663003663000e-03 1.389432485319999910e-01 1.730792414532597245e+00
3.907203907203907201e-03 1.409001956950000078e-01 1.966269834197821087e+00
4.151404151404151401e-03 1.409001956950000078e-01 1.966269834197821087e+00
4.395604395604395601e-03 1.428571428569999913e-01 2.285930995523091536e+00
4.639804639804639801e-03 1.428571428569999913e-01 2.285930995523091536e+00
4.884004884004884001e-03 1.428571428569999913e-01 2.285930995523091536e+00
5.128205128205128201e-03 1.448140900200000081e-01 2.677390216910569443e+00
5.372405372405372401e-03 1.448140900200000081e-01 2.677390216910569443e+00
5.616605616605616601e-03 1.448140900200000081e-01 2.677390216910569443e+00
5.860805860805860801e-03 1.467710371819999915e-01 3.107087740932686692e+00
6.105006105006105001e-03 1.467710371819999915e-01 3.107087740932686692e+00
6.349206349206349201e-03 1.467710371819999915e-01 3.107087740932686692e+00
6.593406593406593401e-03 1.467710371819999915e-01 3.107087740932686692e+00
6.837606837606837601e-03 1.487279843440000027e-01 3.518861645329512733e+00
7.081807081807081801e-03 1.487279843440000027e-01 3.518861645329512733e+00
7.326007326007326001e-03 1.487279843440000027e-01 3.518861645329512733e+00
7.570207570207570201e-03 1.487279843440000027e-01 3.518861645329512733e+00
7.814407814407814401e-03 1.506849315069999917e-01 3.836026156905883777e+00
8.058608058608057734e-03 1.506849315069999917e-01 3.836026156905883777e+00
8.302808302808302801e-03 1.526418786690000029e-01 4.012515548372197927e+00
8.547008547008547868e-03 1.526418786690000029e-01 4.012515548372197927e+00
8.791208791208791201e-03 1.917808219179999996e-01 4.195545725578932128e+00
9.035409035409034534e-03 1.917808219179999996e-01 4.195545725578932128e+00
9.279609279609279601e-03 1.937377690800000107e-01 4.368685088888754287e+00
9.523809523809524669e-03 1.956947162429999998e-01 4.552418952440939748e+00
9.768009768009768001e-03 1.956947162429999998e-01 4.552418952440939748e+00
1.001221001221001133e-02 1.976516634050000110e-01 4.743331352289874125e+00
1.025641025641025640e-02 1.996086105680000000e-01 4.936979419123843194e+00
1.050061050061050147e-02 1.996086105680000000e-01 4.936979419123843194e+00
1.074481074481074480e-02 2.015655577300000112e-01 5.127893601021074055e+00
1.098901098901098813e-02 2.015655577300000112e-01 5.127893601021074055e+00
1.123321123321123320e-02 2.035225048919999946e-01 5.315442830106904992e+00
1.147741147741147827e-02 2.054794520550000114e-01 5.503846105868117178e+00
1.172161172161172160e-02 2.054794520550000114e-01 5.503846105868117178e+00
1.196581196581196493e-02 2.074363992169999948e-01 5.698838505431780277e+00
1.221001221001221000e-02 2.074363992169999948e-01 5.698838505431780277e+00
1.245421245421245507e-02 2.093933463800000117e-01 5.904349445426564813e+00
1.269841269841269840e-02 2.093933463800000117e-01 5.904349445426564813e+00
1.294261294261294173e-02 2.113502935419999951e-01 6.123258827376503177e+00
1.318681318681318680e-02 2.113502935419999951e-01 6.123258827376503177e+00
1.343101343101343187e-02 2.133072407050000119e-01 6.351571744375807071e+00
1.367521367521367520e-02 2.133072407050000119e-01 6.351571744375807071e+00
1.391941391941391853e-02 2.152641878669999953e-01 6.578402888165753026e+00
1.416361416361416360e-02 2.152641878669999953e-01 6.578402888165753026e+00
1.440781440781440867e-02 2.172211350290000065e-01 6.792585275469067874e+00
1.465201465201465200e-02 2.172211350290000065e-01 6.792585275469067874e+00
1.489621489621489533e-02 2.191780821919999955e-01 6.989332881287158905e+00
1.514041514041514040e-02 2.211350293540000067e-01 7.166543222692023818e+00
1.538461538461538547e-02 2.211350293540000067e-01 7.166543222692023818e+00
1.562881562881562880e-02 2.230919765169999958e-01 7.327641508005101834e+00
1.587301587301587213e-02 2.250489236790000069e-01 7.481600684841291482e+00
1.611721611721611547e-02 2.250489236790000069e-01 7.481600684841291482e+00
1.636141636141636227e-02 2.270058708409999904e-01 7.636373255374699909e+00
1.660561660561660560e-02 2.289628180040000072e-01 7.792236885015062064e+00
1.684981684981684893e-02 2.309197651659999906e-01 7.949127754155592029e+00
1.709401709401709574e-02 2.309197651659999906e-01 7.949127754155592029e+00
1.733821733821733907e-02 2.328767123290000074e-01 8.106156063775735277e+00
1.758241758241758240e-02 2.348336594909999908e-01 8.261591779054310081e+00
1.782661782661782574e-02 2.367906066540000076e-01 8.416116867622262632e+00
1.807081807081806907e-02 2.367906066540000076e-01 8.416116867622262632e+00
1.831501831501831587e-02 2.387475538159999910e-01 8.576125801625106959e+00
1.855921855921855920e-02 2.407045009780000022e-01 8.746448786010434517e+00
1.880341880341880254e-02 2.407045009780000022e-01 8.746448786010434517e+00
1.904761904761904934e-02 2.426614481409999913e-01 8.930281367617729060e+00
1.929181929181929267e-02 2.446183953030000024e-01 9.129185994470624621e+00
1.953601953601953600e-02 2.446183953030000024e-01 9.129185994470624621e+00
1.978021978021977934e-02 2.465753424659999915e-01 9.342473422240688663e+00
2.002442002442002267e-02 2.465753424659999915e-01 9.342473422240688663e+00
2.026862026862026947e-02 2.485322896280000027e-01 9.566585160239389651e+00
2.051282051282051280e-02 2.485322896280000027e-01 9.566585160239389651e+00
2.075702075702075614e-02 2.504892367909999917e-01 9.798653892658720110e+00
