IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 2.550000000000000044e-01
1.525902189669642176e-05 3.921568627450980338e-03 2.836666666666666781e-01
1.373311970702677958e-04 7.843137254901960675e-03 3.290000000000000147e-01
3.356984817273212787e-04 1.176470588235294101e-02 3.646666666666666390e-01
5.035477225909818638e-04 1.568627450980392135e-02 4.153333333333333321e-01
7.324330510414282444e-04 1.960784313725490169e-02 4.700000000000000289e-01
9.765774013885709925e-04 2.352941176470588203e-02 5.513333333333333419e-01
1.342793926909285115e-03 2.745098039215686236e-02 5.963333333333332709e-01
1.541161211566338543e-03 3.137254901960784270e-02 6.793333333333334556e-01
1.907377737087052666e-03 3.529411764705882304e-02 7.893333333333334423e-01
2.395666437781338379e-03 3.921568627450980338e-02 8.813333333333334130e-01
2.807660028992141604e-03 4.313725490196078372e-02 9.676666666666666750e-01
3.204394598306248461e-03 4.705882352941176405e-02 1.081666666666666776e+00
3.707942320897230325e-03 5.098039215686274439e-02 1.226666666666666794e+00
4.364080262455176731e-03 5.490196078431372473e-02 1.377999999999999892e+00
5.035477225909819506e-03 5.882352941176470507e-02 1.548333333333333117e+00
5.798428320744640485e-03 6.274509803921568540e-02 1.668000000000000149e+00
6.332494087129015084e-03 6.666666666666666574e-02 1.849999999999999867e+00
7.156481269550621534e-03 7.058823529411764608e-02 2.050999999999999712e+00
8.056763561455709821e-03 7.450980392156862642e-02 2.224000000000000199e+00
8.834973678187228036e-03 7.843137254901960675e-02 2.433333333333333126e+00
9.765774013885709925e-03 8.235294117647058709e-02 2.682333333333333680e+00
1.087968261234454823e-02 8.627450980392156743e-02 2.827666666666666107e+00
1.153582055390249550e-02 9.019607843137254777e-02 2.998333333333333073e+00
1.229877164873731561e-02 9.411764705882352811e-02 3.299666666666666970e+00
1.365682459754329753e-02 9.803921568627450844e-02 3.618666666666667364e+00
1.507591363393606491e-02 1.019607843137254888e-01 3.778999999999999915e+00
1.579308766308079592e-02 1.058823529411764691e-01 4.169333333333333336e+00
1.754787518120088513e-02 1.098039215686274495e-01 4.294666666666667076e+00
1.811245899137865420e-02 1.137254901960784298e-01 4.606333333333332725e+00
1.950102998397802712e-02 1.176470588235294101e-01 4.921333333333334004e+00
2.092011902037079277e-02 1.215686274509803905e-01 5.200333333333333030e+00
2.217135881589990185e-02 1.254901960784313708e-01 5.503666666666666707e+00
2.352941176470588203e-02 1.294117647058823373e-01 5.857000000000000206e+00
2.511635004196231119e-02 1.333333333333333315e-01 6.230999999999998984e+00
2.679484245059891509e-02 1.372549019607843257e-01 6.493999999999999773e+00
2.796978713664454233e-02 1.411764705882352922e-01 6.848666666666666458e+00
2.955672541390096802e-02 1.450980392156862586e-01 7.181000000000000050e+00
3.105210955977721898e-02 1.490196078431372528e-01 7.604666666666666686e+00
3.294422827496757550e-02 1.529411764705882470e-01 7.875666666666666593e+00
3.416495002670328490e-02 1.568627450980392135e-01 8.307333333333332348e+00
3.608758678568703415e-02 1.607843137254901800e-01 8.658333333333333215e+00
3.765926604104676695e-02 1.647058823529411742e-01 9.063000000000000611e+00
3.947508964675364163e-02 1.686274509803921684e-01 9.605666666666667908e+00
4.191653315022506737e-02 1.725490196078431349e-01 9.875999999999999446e+00
4.312199588006408735e-02 1.764705882352941013e-01 1.018999999999999950e+01
4.452582589456016010e-02 1.803921568627450955e-01 1.084333333333333371e+01
4.745555809872586961e-02 1.843137254901960898e-01 1.120666666666666877e+01
4.908827344167238788e-02 1.882352941176470562e-01 1.186666666666666714e+01
5.204852368963149706e-02 1.921568627450980227e-01 1.217333333333333201e+01
5.342183566033417014e-02 1.960784313725490169e-01 1.280666666666666664e+01
5.626001373311970838e-02 2.000000000000000111e-01 1.293666666666666565e+01
5.683985656519417035e-02 2.039215686274509776e-01 1.392333333333333378e+01
6.126497291523613081e-02 2.078431372549019440e-01 1.401333333333333364e+01
6.166170748455024331e-02 2.117647058823529382e-01 1.464666666666666650e+01
6.449988555733578155e-02 2.156862745098039325e-01 1.545666666666666877e+01
6.813153276874951703e-02 2.196078431372548989e-01 1.582999999999999829e+01
6.981002517738613133e-02 2.235294117647058654e-01 1.605666666666666487e+01
7.081712062256809159e-02 2.274509803921568596e-01 1.666000000000000014e+01
7.351796749828336253e-02 2.313725490196078538e-01 1.730333333333333101e+01
7.640192263675898987e-02 2.352941176470588203e-01 1.774333333333332874e+01
7.838559548332951765e-02 2.392156862745097867e-01 1.867666666666666586e+01
8.256656748302433624e-02 2.431372549019607809e-01 1.903999999999999915e+01
8.418402380407416508e-02 2.470588235294117752e-01 1.986666666666667069e+01
8.789196612497138239e-02 2.509803921568627416e-01 2.088333333333333286e+01
9.245441367208362404e-02 2.549019607843137081e-01 2.131333333333333258e+01
9.437705043106736635e-02 2.588235294117646745e-01 2.209333333333333371e+01
9.787136644541084840e-02 2.627450980392156965e-01 2.229333333333333300e+01
9.877164873731593409e-02 2.666666666666666630e-01 2.295999999999999730e+01
1.017624170290684360e-01 2.705882352941176294e-01 2.394333333333333158e+01
1.061570153353170037e-01 2.784313725490196179e-01 2.452333333333332988e+01
1.087663080796520965e-01 2.823529411764705843e-01 2.523999999999999844e+01
1.119707026779583475e-01 2.862745098039215508e-01 2.628000000000000114e+01
1.166399633783474499e-01 2.901960784313725172e-01 2.691000000000000014e+01
