IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 3.400000000000000244e-03
2.442002442002442000e-04 5.490196078429999960e-02 1.334000000000000186e-01
4.884004884004884001e-04 7.058823529409999353e-02 2.820000000000000284e-01
7.326007326007326001e-04 7.843137254899999744e-02 3.926000000000000045e-01
9.768009768009768001e-04 8.627450980390000135e-02 5.307999999999999385e-01
1.221001221001221000e-03 9.411764705880000526e-02 7.037999999999998701e-01
1.465201465201465200e-03 9.803921568630000194e-02 8.018000000000000682e-01
1.709401709401709400e-03 1.019607843140000053e-01 9.105999999999999650e-01
1.953601953601953600e-03 1.058823529409999992e-01 1.030399999999999983e+00
2.197802197802197800e-03 1.098039215689999987e-01 1.154800000000000049e+00
2.442002442002442000e-03 1.137254901960000064e-01 1.294399999999999995e+00
2.686202686202686200e-03 1.176470588240000059e-01 1.435599999999999987e+00
2.930402930402930400e-03 1.215686274509999998e-01 1.596000000000000085e+00
3.174603174603174600e-03 1.254901960779999937e-01 1.753199999999999648e+00
3.663003663003663000e-03 1.294117647059999932e-01 1.937999999999999945e+00
3.907203907203907201e-03 1.333333333329999870e-01 2.129000000000000004e+00
4.395604395604395601e-03 1.372549019609999865e-01 2.315400000000000347e+00
4.639804639804639801e-03 1.411764705880000081e-01 2.541199999999999903e+00
5.128205128205128201e-03 1.450980392160000076e-01 2.762599999999999945e+00
5.616605616605616601e-03 1.490196078430000015e-01 2.996200000000000419e+00
6.105006105006105001e-03 1.529411764710000010e-01 3.241400000000000059e+00
6.593406593406593401e-03 1.568627450979999949e-01 3.505599999999999827e+00
7.081807081807081801e-03 1.607843137249999887e-01 3.771999999999999797e+00
7.570207570207570201e-03 1.647058823529999882e-01 4.056000000000000050e+00
8.302808302808302801e-03 1.686274509800000099e-01 4.349800000000000111e+00
8.791208791208791201e-03 1.725490196080000094e-01 4.650799999999999379e+00
9.279609279609279601e-03 1.764705882350000032e-01 4.977600000000000691e+00
1.001221001221001133e-02 1.803921568630000027e-01 5.288199999999999790e+00
1.074481074481074480e-02 1.843137254899999966e-01 5.646199999999999442e+00
1.147741147741147827e-02 1.882352941179999961e-01 6.027199999999999669e+00
1.221001221001221000e-02 1.921568627449999900e-01 6.381399999999999295e+00
1.294261294261294173e-02 1.960784313729999895e-01 6.780400000000000205e+00
1.367521367521367520e-02 2.000000000000000111e-01 7.183400000000000674e+00
1.440781440781440867e-02 2.039215686270000050e-01 7.599199999999998845e+00
1.514041514041514040e-02 2.078431372550000045e-01 8.006599999999998829e+00
1.611721611721611547e-02 2.117647058819999983e-01 8.455200000000001381e+00
1.684981684981684893e-02 2.156862745099999978e-01 8.892400000000000304e+00
1.782661782661782574e-02 2.196078431369999917e-01 9.382400000000000517e+00
1.880341880341880254e-02 2.235294117649999912e-01 9.849600000000000577e+00
1.978021978021977934e-02 2.274509803920000128e-01 1.036999999999999922e+01
2.075702075702075614e-02 2.313725490200000123e-01 1.084200000000000230e+01
2.173382173382173294e-02 2.352941176470000062e-01 1.141600000000000037e+01
2.295482295482295654e-02 2.392156862750000057e-01 1.192200000000000060e+01
2.393162393162392987e-02 2.431372549019999996e-01 1.247000000000000064e+01
2.490842490842491014e-02 2.470588235289999934e-01 1.304599999999999760e+01
2.612942612942613027e-02 2.509803921570000207e-01 1.363400000000000034e+01
2.735042735042735040e-02 2.549019607840000146e-01 1.424200000000000088e+01
2.857142857142857054e-02 2.588235294119999863e-01 1.486200000000000010e+01
2.979242979242979067e-02 2.627450980389999802e-01 1.548399999999999999e+01
3.101343101343101427e-02 2.666666666670000074e-01 1.614399999999999835e+01
3.223443223443223093e-02 2.705882352940000013e-01 1.682199999999999918e+01
3.369963369963369787e-02 2.745098039219999730e-01 1.749200000000000088e+01
3.492063492063492147e-02 2.784313725490000224e-01 1.820400000000000063e+01
3.638583638583638841e-02 2.823529411760000163e-01 1.888400000000000034e+01
3.785103785103784840e-02 2.862745098039999880e-01 1.967200000000000060e+01
3.931623931623931534e-02 2.901960784309999819e-01 2.039999999999999858e+01
4.078144078144078227e-02 2.941176470590000092e-01 2.113199999999999790e+01
4.224664224664224921e-02 2.980392156860000030e-01 2.193400000000000105e+01
4.371184371184370920e-02 3.019607843139999748e-01 2.272200000000000131e+01
4.542124542124541947e-02 3.058823529410000241e-01 2.344600000000000151e+01
4.688644688644688641e-02 3.098039215689999959e-01 2.435000000000000142e+01
4.859584859584859667e-02 3.137254901959999898e-01 2.518199999999999861e+01
5.030525030525030694e-02 3.176470588240000170e-01 2.598399999999999821e+01
5.177045177045176694e-02 3.215686274510000109e-01 2.683800000000000097e+01
5.347985347985347721e-02 3.254901960780000048e-01 2.780600000000000094e+01
5.543345543345543081e-02 3.294117647059999765e-01 2.876399999999999935e+01
5.738705738705738441e-02 3.333333333330000259e-01 2.961999999999999744e+01
5.909645909645909467e-02 3.372549019609999976e-01 3.058800000000000097e+01
6.105006105006104827e-02 3.411764705879999915e-01 3.158600000000000207e+01
6.300366300366300187e-02 3.450980392160000187e-01 3.244400000000000261e+01
6.471306471306471908e-02 3.490196078430000126e-01 3.354999999999999716e+01
6.691086691086690907e-02 3.529411764709999844e-01 3.457600000000000762e+01
6.910866910866911295e-02 3.568627450979999782e-01 3.559199999999999875e+01
7.106227106227105961e-02 3.607843137250000276e-01 3.665200000000000102e+01
7.326007326007326348e-02 3.647058823529999994e-01 3.771800000000000352e+01
