IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 1.104000000000000120e-01
1.525902189669642176e-05 3.921568627450980338e-03 1.192000000000000004e-01
9.155413138017853055e-05 7.843137254901960675e-03 1.348000000000000032e-01
2.594033722438391699e-04 1.176470588235294101e-02 1.509999999999999953e-01
4.272526131074998092e-04 1.568627450980392135e-02 1.668000000000000038e-01
5.798428320744640268e-04 1.960784313725490169e-02 1.934000000000000163e-01
8.545052262149996185e-04 2.352941176470588203e-02 2.117999999999999883e-01
1.037613488975356680e-03 2.745098039215686236e-02 2.332000000000000184e-01
1.251239795529106476e-03 3.137254901960784270e-02 2.690000000000000169e-01
1.617456321049820598e-03 3.529411764705882304e-02 3.019999999999999352e-01
1.953154802777141985e-03 3.921568627450980338e-02 3.426000000000000156e-01
2.365148393987945210e-03 4.313725490196078372e-02 3.701999999999999735e-01
2.655069810025177494e-03 4.705882352941176405e-02 4.153999999999999915e-01
3.112840466926070256e-03 5.098039215686274439e-02 4.726000000000000201e-01
3.692683299000533957e-03 5.490196078431372473e-02 5.280000000000000249e-01
4.257267109178301291e-03 5.882352941176470507e-02 5.647999999999999687e-01
4.623483634699015847e-03 6.274509803921568540e-02 6.372000000000000997e-01
5.371175707637140459e-03 6.666666666666666574e-02 6.929999999999999494e-01
5.935759517814907793e-03 7.058823529411764608e-02 7.782000000000000028e-01
6.805523765926604213e-03 7.450980392156862642e-02 8.311999999999999389e-01
7.339589532310978812e-03 7.843137254901960675e-02 9.010000000000000231e-01
8.041504539559013454e-03 8.235294117647058709e-02 9.871999999999999664e-01
8.926527809567406241e-03 8.627450980392156743e-02 1.066199999999999815e+00
9.735255970092317190e-03 9.019607843137254777e-02 1.185200000000000031e+00
1.094071869993133370e-02 9.411764705882352811e-02 1.243400000000000061e+00
1.153582055390249550e-02 9.803921568627450844e-02 1.352600000000000025e+00
1.263447013046463743e-02 1.019607843137254888e-01 1.458399999999999919e+00
1.371786068513008300e-02 1.058823529411764691e-01 1.574400000000000022e+00
1.489280537117570677e-02 1.098039215686274495e-01 1.678200000000000358e+00
1.596093690394445597e-02 1.137254901960784298e-01 1.765599999999999836e+00
1.684596017395284875e-02 1.176470588235294101e-01 1.926399999999999890e+00
