IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 7.526666666666667060e-01
1.525902189669642176e-05 2.639296187683284542e-02 7.583333333333333037e-01
3.051804379339284352e-05 5.278592375366569084e-02 7.796666666666666190e-01
6.103608758678568703e-05 5.376344086021505458e-02 7.980000000000000426e-01
9.155413138017853055e-05 5.474095796676441833e-02 8.316666666666666652e-01
1.525902189669642176e-04 5.571847507331378208e-02 8.649999999999998801e-01
2.136263065537499046e-04 5.669599217986314582e-02 9.060000000000000275e-01
2.899214160372320134e-04 5.767350928641250957e-02 9.436666666666666536e-01
3.662165255207141222e-04 5.865102639296188025e-02 9.823333333333333917e-01
4.272526131074998092e-04 5.962854349951124400e-02 1.027999999999999803e+00
5.188067444876783398e-04 6.060606060606060774e-02 1.075999999999999845e+00
5.951018539711605028e-04 6.158357771260997149e-02 1.152333333333333210e+00
7.476920729381246120e-04 6.353861192570869898e-02 1.208333333333333481e+00
8.392462043183032509e-04 6.451612903225806273e-02 1.251666666666666705e+00
9.155413138017853055e-04 6.549364613880742647e-02 1.323000000000000176e+00
1.052872510872053047e-03 6.647116324535679022e-02 1.416333333333333222e+00
1.220721751735713741e-03 6.744868035190615396e-02 1.487000000000000099e+00
1.342793926909285115e-03 6.842619745845551771e-02 1.593333333333333490e+00
1.541161211566338543e-03 6.940371456500488145e-02 1.669666666666666854e+00
1.678492408636606502e-03 7.038123167155424520e-02 1.767666666666666719e+00
1.861600671396963346e-03 7.135874877810362282e-02 1.888333333333332975e+00
2.075226977950713359e-03 7.233626588465298657e-02 1.976666666666666572e+00
2.243076218814373836e-03 7.331378299120235031e-02 2.065999999999999837e+00
2.395666437781338379e-03 7.429130009775171406e-02 2.209333333333333371e+00
2.670328831921873862e-03 7.526881720430107781e-02 2.291666666666666519e+00
2.807660028992141604e-03 7.624633431085044155e-02 2.403666666666666618e+00
3.021286335545891617e-03 7.722385141739980530e-02 2.525333333333333652e+00
3.234912642099641196e-03 7.820136852394916904e-02 2.639666666666666384e+00
3.448538948653391209e-03 7.917888563049853279e-02 2.781666666666666732e+00
3.707942320897230325e-03 8.015640273704789653e-02 2.900333333333333652e+00
3.921568627450980338e-03 8.113391984359726028e-02 3.057333333333333680e+00
4.211490043488212189e-03 8.211143695014662403e-02 3.145333333333333314e+00
4.364080262455176731e-03 8.308895405669598777e-02 3.302333333333333343e+00
4.654001678492408582e-03 8.406647116324535152e-02 3.407000000000000028e+00
4.837109941252765860e-03 8.504398826979471526e-02 3.547666666666666302e+00
5.096513313496604976e-03 8.602150537634409289e-02 3.737666666666667137e+00
5.447470817120622297e-03 8.699902248289345663e-02 3.935666666666666647e+00
5.798428320744640485e-03 8.797653958944282038e-02 4.076666666666667105e+00
6.057831692988479601e-03 8.895405669599218412e-02 4.248000000000000220e+00
6.378271152819104187e-03 8.993157380254154787e-02 4.409333333333333549e+00
6.668192568856336037e-03 9.090909090909091161e-02 4.573666666666666991e+00
6.973373006790265123e-03 9.188660801564027536e-02 4.710666666666665670e+00
7.217517357137407871e-03 9.286412512218963911e-02 4.882666666666666266e+00
7.522697795071336090e-03 9.384164222873900285e-02 5.029333333333332767e+00
7.797360189211871573e-03 9.481915933528836660e-02 5.256333333333333080e+00
8.209353780422675231e-03 9.579667644183773034e-02 5.417333333333334444e+00
8.499275196459906215e-03 9.677419354838709409e-02 5.558333333333333570e+00
8.758678568703746198e-03 9.775171065493645783e-02 5.774666666666665726e+00
9.155413138017853489e-03 9.872922776148582158e-02 5.950333333333333030e+00
9.475852597848477207e-03 9.970674486803518533e-02 6.116999999999999993e+00
9.781033035782406293e-03 1.006842619745845491e-01 6.287666666666666515e+00
1.008621347371633538e-02 1.016617790811339128e-01 6.514999999999999680e+00
1.049820706492713904e-02 1.026392961876832904e-01 6.730999999999998984e+00
1.089494163424124459e-02 1.036168132942326542e-01 6.968333333333333712e+00
1.132219424734874462e-02 1.045943304007820179e-01 7.128333333333332966e+00
1.161211566338597734e-02 1.055718475073313817e-01 7.357333333333333059e+00
1.203936827649347736e-02 1.065493646138807454e-01 7.574000000000000732e+00
1.242084382391088655e-02 1.075268817204301092e-01 7.824666666666666437e+00
1.287861448081177931e-02 1.085043988269794729e-01 7.977000000000000313e+00
1.315327687495231566e-02 1.094819159335288367e-01 8.191666666666666430e+00
1.355001144426642296e-02 1.104594330400782004e-01 8.415333333333332888e+00
1.396200503547722661e-02 1.114369501466275642e-01 8.628333333333332078e+00
1.434348058289463580e-02 1.124144672531769279e-01 8.807666666666667865e+00
1.467917906462195762e-02 1.133919843597262916e-01 9.024333333333332874e+00
1.506065461203936855e-02 1.143695014662756554e-01 9.242666666666666586e+00
1.545738918135347584e-02 1.153470185728250191e-01 9.534333333333334437e+00
1.599145494773784870e-02 1.163245356793743829e-01 9.749333333333332519e+00
1.638818951705195773e-02 1.173020527859237605e-01 9.989333333333332732e+00
1.681544213015945602e-02 1.182795698924731242e-01 1.025000000000000000e+01
1.730373083085374325e-02 1.192570869990224880e-01 1.047000000000000064e+01
1.770046540016784881e-02 1.202346041055718517e-01 1.071999999999999886e+01
1.815823605706874330e-02 1.212121212121212155e-01 1.099333333333333229e+01
1.864652475776302706e-02 1.221896383186705792e-01 1.118333333333333535e+01
1.899748226138704352e-02 1.231671554252199430e-01 1.149333333333333407e+01
1.956206607156481259e-02 1.241446725317693067e-01 1.168666666666666565e+01
1.991302357518882904e-02 1.251221896383186705e-01 1.172333333333333449e+01
1.997405966277561451e-02 1.260997067448680342e-01 1.190333333333333421e+01
2.030975814450293807e-02 1.270772238514173980e-01 1.220666666666666877e+01
2.085908293278400730e-02 1.280547409579667617e-01 1.250999999999999979e+01
2.140840772106508000e-02 1.290322580645161255e-01 1.274666666666666792e+01
2.183566033417257829e-02 1.300097751710654892e-01 1.308000000000000007e+01
2.244602121004043646e-02 1.309872922776148529e-01 1.326333333333333364e+01
2.278171969176775655e-02 1.319648093841642167e-01 1.349666666666666792e+01
2.320897230487525831e-02 1.329423264907135804e-01 1.382666666666666799e+01
2.380407415884641664e-02 1.339198435972629442e-01 1.408666666666666778e+01
2.427710383764400751e-02 1.348973607038123079e-01 1.431000000000000050e+01
2.468909742885480943e-02 1.358748778103616717e-01 1.450999999999999979e+01
2.505531395437552572e-02 1.368523949169110354e-01 1.486333333333333506e+01
2.569619287403677316e-02 1.378299120234603992e-01 1.509666666666666579e+01
2.612344548714427492e-02 1.388074291300097629e-01 1.543999999999999950e+01
2.674906538490882599e-02 1.397849462365591267e-01 1.571999999999999886e+01
2.725261310749980959e-02 1.407624633431084904e-01 1.597000000000000064e+01
2.771038376440070061e-02 1.417399804496578819e-01 1.632666666666666444e+01
2.835126268406195152e-02 1.427174975562072456e-01 1.651666666666666927e+01
2.870222018768596797e-02 1.436950146627566094e-01 1.678999999999999915e+01
2.920576791027695157e-02 1.446725317693059731e-01 1.717666666666666586e+01
2.990768291752498795e-02 1.456500488758553369e-01 1.742666666666666586e+01
3.036545357442587897e-02 1.466275659824047006e-01 1.769666666666666899e+01
3.085374227512016621e-02 1.476050830889540644e-01 1.794666666666666544e+01
3.131151293202105723e-02 1.485826001955034281e-01 1.830000000000000071e+01
3.195239185168230467e-02 1.495601173020527919e-01 1.862000000000000099e+01
3.253223468375677357e-02 1.505376344086021556e-01 1.892000000000000171e+01
3.308155947203784281e-02 1.515151515151515194e-01 1.923333333333333428e+01
3.364614328221560841e-02 1.524926686217008831e-01 1.946666666666666856e+01
3.407339589532310670e-02 1.534701857282502468e-01 1.983666666666666600e+01
3.474479285877775381e-02 1.544477028347996106e-01 2.010666666666666558e+01
3.523308155947203757e-02 1.554252199413489743e-01 2.038333333333332931e+01
3.573662928206301770e-02 1.564027370478983381e-01 2.080999999999999872e+01
3.651483939879453938e-02 1.573802541544477018e-01 2.110333333333333528e+01
3.704890516517891225e-02 1.583577712609970656e-01 2.135999999999999943e+01
3.752193484397649964e-02 1.593352883675464293e-01 2.164000000000000057e+01
3.802548256656747977e-02 1.603128054740957931e-01 2.199666666666666615e+01
3.868162050812543051e-02 1.612903225806451568e-01 2.226333333333333186e+01
3.915465018692301791e-02 1.622678396871945206e-01 2.265333333333333599e+01
3.987182421606774718e-02 1.632453567937438843e-01 2.298000000000000043e+01
4.046692607003891246e-02 1.642228739002932481e-01 2.326000000000000156e+01
4.097047379262989258e-02 1.652003910068426118e-01 2.359333333333333371e+01
4.158083466849774729e-02 1.661779081133919755e-01 2.393999999999999773e+01
4.220645456626230529e-02 1.671554252199413393e-01 2.416999999999999815e+01
4.263370717936980359e-02 1.681329423264907030e-01 2.455000000000000071e+01
4.332036316472114013e-02 1.691104594330400668e-01 2.492666666666666586e+01
4.400701915007248360e-02 1.700879765395894305e-01 2.526666666666666572e+01
4.463263904783703467e-02 1.710654936461387943e-01 2.557000000000000384e+01
4.518196383611810391e-02 1.720430107526881858e-01 2.596333333333333471e+01
4.589913786526284012e-02 1.730205278592375495e-01 2.617666666666666586e+01
4.628061341268024931e-02 1.739980449657869133e-01 2.660666666666666558e+01
4.705882352941176405e-02 1.749755620723362770e-01 2.691666666666666785e+01
4.762340733958952965e-02 1.759530791788856408e-01 2.724666666666666970e+01
4.823376821545739129e-02 1.769305962854350045e-01 2.763666666666666671e+01
4.893568322270542420e-02 1.779081133919843682e-01 2.805000000000000071e+01
4.969863431754024258e-02 1.788856304985337320e-01 2.835333333333333528e+01
