IntensityIn IntensityOut Luminance
0.000000000000000000e+00 0.000000000000000000e+00 2.210000000000000020e-01
1.525902189669642176e-05 3.921568627450980338e-03 2.329999999999999849e-01
6.103608758678568703e-05 7.843137254901960675e-03 2.566666666666666541e-01
1.525902189669642176e-04 1.176470588235294101e-02 2.750000000000000222e-01
2.288853284504463264e-04 1.568627450980392135e-02 2.999999999999999889e-01
3.356984817273212787e-04 1.960784313725490169e-02 3.320000000000000173e-01
4.730296787975890745e-04 2.352941176470588203e-02 3.583333333333333370e-01
5.798428320744640268e-04 2.745098039215686236e-02 4.046666666666666745e-01
7.782101167315175639e-04 3.137254901960784270e-02 4.306666666666666976e-01
8.850232700083924620e-04 3.529411764705882304e-02 4.873333333333333406e-01
1.113908598458838734e-03 3.921568627450980338e-02 5.490000000000000435e-01
1.373311970702677850e-03 4.313725490196078372e-02 6.203333333333334032e-01
1.678492408636606502e-03 4.705882352941176405e-02 6.816666666666667540e-01
1.922636758983749250e-03 5.098039215686274439e-02 7.586666666666666003e-01
2.243076218814373836e-03 5.490196078431372473e-02 8.509999999999999787e-01
2.639810788128481127e-03 5.882352941176470507e-02 9.376666666666667593e-01
2.990768291752498448e-03 6.274509803921568540e-02 1.042666666666666631e+00
3.433279926756694841e-03 6.666666666666666574e-02 1.175333333333333341e+00
3.982604715037765808e-03 7.058823529411764608e-02 1.249333333333333407e+00
4.287785152971694894e-03 7.450980392156862642e-02 1.360333333333333394e+00
4.760814831769284022e-03 7.843137254901960675e-02 1.485999999999999988e+00
5.279621576256962254e-03 8.235294117647058709e-02 1.650333333333333430e+00
5.966277561608300528e-03 8.627450980392156743e-02 1.771333333333333426e+00
6.469825284199282392e-03 9.019607843137254777e-02 1.948333333333333472e+00
7.202258335240711504e-03 9.411764705882352811e-02 2.093666666666667009e+00
7.812619211108567940e-03 9.803921568627450844e-02 2.265999999999999570e+00
8.529793240253298950e-03 1.019607843137254888e-01 2.464666666666666561e+00
9.353780422674906267e-03 1.058823529411764691e-01 2.612999999999999989e+00
9.979400320439459071e-03 1.098039215686274495e-01 2.818000000000000060e+00
1.083390554665445912e-02 1.137254901960784298e-01 3.073999999999999844e+00
1.190203707942320832e-02 1.176470588235294101e-01 3.243666666666666476e+00
1.260395208667124470e-02 1.215686274509803905e-01 3.427333333333333343e+00
1.336690318150606481e-02 1.254901960784313708e-01 3.660666666666666291e+00
1.434348058289463580e-02 1.294117647058823373e-01 3.944666666666666544e+00
1.551842526894026131e-02 1.333333333333333315e-01 4.151333333333333542e+00
1.638818951705195773e-02 1.372549019607843257e-01 4.387333333333333307e+00
1.736476691844052872e-02 1.411764705882352922e-01 4.753000000000000114e+00
1.889066910811016894e-02 1.450980392156862586e-01 4.873333333333333961e+00
1.939421683070115254e-02 1.490196078431372528e-01 5.215333333333333599e+00
2.081330586709391819e-02 1.529411764705882470e-01 5.528999999999999915e+00
2.212558175020981274e-02 1.568627450980392135e-01 5.833999999999999631e+00
2.339208056763561472e-02 1.607843137254901800e-01 6.012333333333333307e+00
2.413977264057374020e-02 1.647058823529411742e-01 6.357666666666666799e+00
2.557412069886320222e-02 1.686274509803921684e-01 6.709999999999999964e+00
2.705424582284275681e-02 1.725490196078431349e-01 7.084999999999999964e+00
2.861066605630578977e-02 1.764705882352941013e-01 7.392666666666666941e+00
2.989242389562829158e-02 1.803921568627450955e-01 7.661333333333332440e+00
3.100633249408712988e-02 1.843137254901960898e-01 8.124666666666664483e+00
3.294422827496757550e-02 1.882352941176470562e-01 8.464333333333332376e+00
3.436331731136034462e-02 1.921568627450980227e-01 8.872999999999999332e+00
3.605706874189364142e-02 1.960784313725490169e-01 9.141333333333333755e+00
3.718623636224917955e-02 2.000000000000000111e-01 9.678666666666666529e+00
3.941405355916685616e-02 2.039215686274509776e-01 1.010666666666666735e+01
4.119935912108033810e-02 2.078431372549019440e-01 1.040666666666666629e+01
4.245059891660944718e-02 2.117647058823529382e-01 1.083333333333333393e+01
4.423590447852292912e-02 2.156862745098039325e-01 1.127333333333333343e+01
4.606698710612650016e-02 2.196078431372548989e-01 1.183333333333333393e+01
4.840161745632105134e-02 2.235294117647058654e-01 1.225333333333333208e+01
5.014114595254444418e-02 2.274509803921568596e-01 1.273333333333333428e+01
5.214007782101167526e-02 2.313725490196078538e-01 1.310666666666666735e+01
5.369649805447470475e-02 2.352941176470588203e-01 1.361999999999999922e+01
5.584802014190890646e-02 2.392156862745097867e-01 1.412333333333333307e+01
5.793850614175631575e-02 2.431372549019607809e-01 1.472666666666666657e+01
6.045624475471122333e-02 2.470588235294117752e-01 1.540666666666666629e+01
6.327916380560005827e-02 2.509803921568627416e-01 1.606333333333333258e+01
6.602578774700541830e-02 2.549019607843137081e-01 1.654666666666666686e+01
6.803997863736933882e-02 2.588235294117646745e-01 1.703333333333333499e+01
7.006942854962996958e-02 2.627450980392156965e-01 1.734666666666666757e+01
7.136644541084916082e-02 2.666666666666666630e-01 1.797666666666666657e+01
7.399099717708094992e-02 2.705882352941176294e-01 1.836333333333333329e+01
7.560845349813076488e-02 2.745098039215686514e-01 1.880999999999999872e+01
7.747005416952773560e-02 2.784313725490196179e-01 1.971666666666666501e+01
8.125429159990844863e-02 2.823529411764705843e-01 2.018333333333333357e+01
8.319218738078888731e-02 2.862745098039215508e-01 2.039333333333333087e+01
8.406195162890059414e-02 2.901960784313725172e-01 2.116333333333333044e+01
8.728160524910352769e-02 2.941176470588235392e-01 2.157666666666666799e+01
8.899061570153353473e-02 2.980392156862745057e-01 2.218000000000000327e+01
9.150835431448843538e-02 3.019607843137254721e-01 2.313666666666666671e+01
9.549095902952620118e-02 3.058823529411764941e-01 2.336666666666667069e+01
9.645227740901808622e-02 3.098039215686274606e-01 2.394666666666666899e+01
9.887846189059280866e-02 3.137254901960784270e-01 2.454666666666666686e+01
1.013809414816510268e-01 3.176470588235293935e-01 2.539000000000000057e+01
1.048905165178912052e-01 3.215686274509803599e-01 2.612666666666666515e+01
1.079575799191271890e-01 3.254901960784313819e-01 2.639666666666666472e+01
1.090867475394827202e-01 3.294117647058823484e-01 2.713666666666666671e+01
1.121690699626154003e-01 3.333333333333333148e-01 2.767333333333333556e+01
1.143968871595330700e-01 3.372549019607843368e-01 2.858333333333333215e+01
1.181963836118104794e-01 3.411764705882353033e-01 2.876000000000000156e+01
1.189288166628519050e-01 3.450980392156862697e-01 2.962999999999999901e+01
1.225604638742656544e-01 3.490196078431372362e-01 3.011333333333333329e+01
1.245746547646295888e-01 3.529411764705882026e-01 3.114000000000000057e+01
1.288471808957045717e-01 3.568627450980392246e-01 3.167333333333333556e+01
1.310749980926222691e-01 3.607843137254901911e-01 3.211333333333332973e+01
1.329060807202258332e-01 3.647058823529411575e-01 3.340333333333333599e+01
1.382772564278629823e-01 3.686274509803921795e-01 3.341333333333333400e+01
1.383230334935530714e-01 3.725490196078431460e-01 3.434333333333333371e+01
1.421988250553139488e-01 3.764705882352941124e-01 3.547333333333332916e+01
1.468986037994964577e-01 3.803921568627450789e-01 3.571000000000000085e+01
1.478904402227817216e-01 3.843137254901960453e-01 3.708999999999999631e+01
1.536430914778362800e-01 3.882352941176470673e-01 3.740333333333332888e+01
1.549401083390554712e-01 3.921568627450980338e-01 3.835999999999999233e+01
1.589379720759899195e-01 3.960784313725490002e-01 3.883333333333333570e+01
1.609063859006637787e-01 4.000000000000000222e-01 3.975999999999999801e+01
1.647669184405279597e-01 4.039215686274509887e-01 4.038000000000000256e+01
1.673456931410696458e-01 4.078431372549019551e-01 4.195666666666667055e+01
1.739223315785458079e-01 4.117647058823529216e-01 4.267999999999999972e+01
1.769283588921950201e-01 4.156862745098038880e-01 4.299333333333333940e+01
1.782406347753109077e-01 4.196078431372549100e-01 4.421999999999999886e+01
1.833524071107041908e-01 4.235294117647058765e-01 4.489666666666666828e+01
1.861753261615930466e-01 4.274509803921568429e-01 4.561999999999999744e+01
1.891813534752422310e-01 4.313725490196078649e-01 4.641333333333333400e+01
1.924925612268253705e-01 4.352941176470588314e-01 4.706333333333333258e+01
1.952086671244373239e-01 4.392156862745097978e-01 4.843999999999999773e+01
2.009308003356984895e-01 4.431372549019607643e-01 4.916999999999999460e+01
2.039826047150377630e-01 4.470588235294117307e-01 4.987333333333333485e+01
2.069123369192034656e-01 4.509803921568627527e-01 5.081333333333333258e+01
2.108339055466544598e-01 4.549019607843137192e-01 5.160000000000000142e+01
2.140993362325474825e-01 4.588235294117646856e-01 5.225000000000000000e+01
2.168154421301594637e-01 4.627450980392157076e-01 5.398333333333332718e+01
2.240329594872968733e-01 4.705882352941176405e-01 5.529666666666667396e+01
2.295109483482108692e-01 4.745098039215686070e-01 5.607333333333333059e+01
2.327458609903105269e-01 4.784313725490195734e-01 5.712000000000000455e+01
2.371099412527656880e-01 4.823529411764705954e-01 5.837333333333333485e+01
2.423285267414358735e-01 4.862745098039215619e-01 5.885000000000000142e+01
2.443121995880064012e-01 4.901960784313725283e-01 6.031666666666666288e+01
2.504310673685816724e-01 4.941176470588235503e-01 6.111000000000000654e+01
2.537270160982680878e-01 4.980392156862745168e-01 6.182333333333333059e+01
2.567025253681238794e-01 5.019607843137254832e-01 6.323666666666667169e+01
2.625925078202487328e-01 5.058823529411764497e-01 6.445333333333333314e+01
2.676585030899519269e-01 5.098039215686274161e-01 6.550666666666666060e+01
2.720531013962004807e-01 5.137254901960783826e-01 6.663333333333332575e+01
2.767528801403830174e-01 5.176470588235293491e-01 6.737000000000000455e+01
2.798199435416189873e-01 5.215686274509804266e-01 6.858999999999998920e+01
2.849011978332188777e-01 5.254901960784313930e-01 6.979000000000000625e+01
2.899061570153353418e-01 5.294117647058823595e-01 7.017333333333333201e+01
2.915083543144884604e-01 5.333333333333333259e-01 7.164333333333333087e+01
2.976272220950637037e-01 5.372549019607842924e-01 7.286666666666667425e+01
3.027237354085602905e-01 5.411764705882352589e-01 7.417000000000000171e+01
3.081559472037842529e-01 5.450980392156862253e-01 7.446333333333332405e+01
3.093766689555199623e-01 5.490196078431373028e-01 7.572666666666667368e+01
3.146410315098802091e-01 5.529411764705882693e-01 7.691666666666667140e+01
3.196002136263065285e-01 5.568627450980392357e-01 7.855666666666667197e+01
3.264362554360265567e-01 5.607843137254902022e-01 7.861333333333332973e+01
3.266651407644770022e-01 5.647058823529411686e-01 8.024666666666666970e+01
3.334706645304035821e-01 5.686274509803921351e-01 8.104999999999999716e+01
3.368276493476768385e-01 5.725490196078431016e-01 8.288333333333333997e+01
3.444571602960250223e-01 5.764705882352940680e-01 8.338666666666667027e+01
3.465629053177691210e-01 5.803921568627450345e-01 8.437000000000000455e+01
3.506523231860837475e-01 5.843137254901961120e-01 8.545999999999999375e+01
3.551995117112993205e-01 5.882352941176470784e-01 8.641666666666667140e+01
3.591821164263370725e-01 5.921568627450980449e-01 8.795333333333333314e+01
3.655909056229495468e-01 5.960784313725490113e-01 8.908666666666665890e+01
3.703212024109254763e-01 5.999999999999999778e-01 9.010999999999999943e+01
3.745784695201037628e-01 6.039215686274509443e-01 9.154333333333333655e+01
3.805447470817120426e-01 6.078431372549019107e-01 9.239666666666666117e+01
3.841000991836423517e-01 6.117647058823529882e-01 9.418333333333333712e+01
3.915465018692301791e-01 6.156862745098039547e-01 9.488333333333332575e+01
3.944609750514991853e-01 6.196078431372549211e-01 9.645000000000000284e+01
4.009918364232852861e-01 6.235294117647058876e-01 9.817000000000000171e+01
4.081635767147325788e-01 6.274509803921568540e-01 9.896333333333332405e+01
4.114747844663156906e-01 6.313725490196078205e-01 9.970000000000000284e+01
4.145418478675517160e-01 6.352941176470587870e-01 1.015999999999999801e+02
4.224612802319371307e-01 6.392156862745097534e-01 1.024333333333333371e+02
4.259250782024872062e-01 6.431372549019607199e-01 1.032000000000000028e+02
4.291294728007934434e-01 6.470588235294117974e-01 1.054333333333333371e+02
4.384374761577782831e-01 6.509803921568627638e-01 1.063666666666666742e+02
4.423132677195391604e-01 6.549019607843137303e-01 1.074333333333333371e+02
4.467689021133745553e-01 6.588235294117646967e-01 1.082000000000000028e+02
4.499580376897840961e-01 6.627450980392156632e-01 1.096666666666666714e+02
4.560769054703593395e-01 6.666666666666666297e-01 1.110333333333333456e+02
4.617685206378271401e-01 6.705882352941175961e-01 1.126333333333333258e+02
4.684367132066834527e-01 6.745098039215686736e-01 1.142999999999999972e+02
4.753795681696802999e-01 6.784313725490196401e-01 1.150000000000000000e+02
4.782940413519493617e-01 6.823529411764706065e-01 1.166666666666666714e+02
4.852368963149462089e-01 6.862745098039215730e-01 1.179000000000000199e+02
4.903791866941328847e-01 6.901960784313725394e-01 1.190999999999999801e+02
4.953841458762493488e-01 6.941176470588235059e-01 1.204333333333333371e+02
5.009384298466468266e-01 6.980392156862744724e-01 1.219000000000000199e+02
5.070420386053253736e-01 7.019607843137254388e-01 1.230999999999999801e+02
5.120469977874417822e-01 7.058823529411764053e-01 1.244000000000000199e+02
5.174639505607691037e-01 7.098039215686274828e-01 1.262000000000000028e+02
5.249713893339437165e-01 7.137254901960784492e-01 1.275000000000000000e+02
5.303883421072709270e-01 7.176470588235294157e-01 1.291999999999999886e+02
5.374685282673380415e-01 7.215686274509803821e-01 1.299000000000000057e+02
5.403830014496070477e-01 7.254901960784313486e-01 1.310000000000000000e+02
5.449607080186159580e-01 7.294117647058823151e-01 1.340999999999999943e+02
5.578850995651178923e-01 7.372549019607843590e-01 1.358000000000000114e+02
5.649652857251850069e-01 7.411764705882353255e-01 1.378333333333333428e+02
5.734493018997481872e-01 7.450980392156862919e-01 1.390000000000000000e+02
5.783016708628977431e-01 7.490196078431372584e-01 1.403000000000000114e+02
5.837186236362249536e-01 7.529411764705882248e-01 1.416666666666666572e+02
5.894102388036926987e-01 7.568627450980391913e-01 1.440333333333333314e+02
5.992828259708552485e-01 7.607843137254901578e-01 1.448000000000000114e+02
6.024719615472647893e-01 7.647058823529411242e-01 1.460999999999999943e+02
6.078889143205919998e-01 7.686274509803920907e-01 1.481666666666666572e+02
6.164950026703288621e-01 7.725490196078431682e-01 1.500999999999999943e+02
6.245517662317845442e-01 7.764705882352941346e-01 1.516333333333333258e+02
6.309452964065003222e-01 7.803921568627451011e-01 1.533000000000000114e+02
6.378881513694971694e-01 7.843137254901960675e-01 1.550666666666666913e+02
6.452582589456016260e-01 7.882352941176470340e-01 1.559000000000000057e+02
6.487220569161517014e-01 7.921568627450980005e-01 1.580666666666666629e+02
6.577553978789959510e-01 7.960784313725489669e-01 1.605000000000000000e+02
6.679026474402990354e-01 8.000000000000000444e-01 1.613000000000000114e+02
6.712291142137788436e-01 8.039215686274510109e-01 1.629666666666666686e+02
6.781719691767758018e-01 8.078431372549019773e-01 1.648000000000000114e+02
6.858167391470206820e-01 8.117647058823529438e-01 1.661999999999999886e+02
6.916456855115586944e-01 8.156862745098039102e-01 1.678000000000000114e+02
6.983138780804150070e-01 8.196078431372548767e-01 1.702333333333333201e+02
7.084611276417182024e-01 8.235294117647058432e-01 1.719000000000000057e+02
7.154039826047150497e-01 8.274509803921568096e-01 1.732333333333333485e+02
7.209582665751125274e-01 8.313725490196077761e-01 1.750333333333333314e+02
7.284504463263904439e-01 8.352941176470588536e-01 1.765333333333333314e+02
7.347066453040360656e-01 8.392156862745098200e-01 1.779000000000000057e+02
7.403982604715038107e-01 8.431372549019607865e-01 1.800000000000000000e+02
7.491569390402075257e-01 8.470588235294117530e-01 1.824000000000000057e+02
7.591515983825436464e-01 8.509803921568627194e-01 1.835666666666666913e+02
7.640192263675897877e-01 8.549019607843136859e-01 1.851999999999999602e+02
7.708247501335164786e-01 8.588235294117646523e-01 1.870999999999999943e+02
7.787441824979018934e-01 8.627450980392157298e-01 1.893000000000000398e+02
7.878995956359197139e-01 8.666666666666666963e-01 1.906999999999999602e+02
7.937438010223544227e-01 8.705882352941176627e-01 1.921999999999999602e+02
7.999847409781033480e-01 8.745098039215686292e-01 1.939000000000000057e+02
8.070801861600671590e-01 8.784313725490195957e-01 1.954000000000000057e+02
8.133211261158159733e-01 8.823529411764705621e-01 1.973000000000000398e+02
8.212405584802013880e-01 8.862745098039215286e-01 1.990333333333333314e+02
8.284580758373388809e-01 8.901960784313724950e-01 2.010666666666666913e+02
8.369420920119020613e-01 8.941176470588234615e-01 2.031999999999999602e+02
8.458228427557793472e-01 8.980392156862745390e-01 2.051666666666666572e+02
8.540169375143052966e-01 9.019607843137255054e-01 2.061999999999999602e+02
8.583352407110703686e-01 9.058823529411764719e-01 2.080000000000000000e+02
8.658274204623483961e-01 9.098039215686274384e-01 2.106999999999999602e+02
8.770733196002136189e-01 9.137254901960784048e-01 2.118333333333333428e+02
8.818036163881894929e-01 9.176470588235293713e-01 2.134333333333333087e+02
8.884718089570458055e-01 9.215686274509803377e-01 2.153000000000000398e+02
8.962539101243610640e-01 9.254901960784314152e-01 2.174000000000000057e+02
9.049973296711680826e-01 9.294117647058823817e-01 2.195999999999999943e+02
9.141680018310825995e-01 9.333333333333333481e-01 2.209333333333333087e+02
9.197222858014800773e-01 9.372549019607843146e-01 2.226999999999999602e+02
9.270771343556878374e-01 9.411764705882352811e-01 2.239000000000000057e+02
9.320820935378042460e-01 9.450980392156862475e-01 2.260000000000000000e+02
9.408407721065079610e-01 9.490196078431372140e-01 2.274000000000000057e+02
9.466697184710459734e-01 9.529411764705881804e-01 2.281999999999999602e+02
9.499961852445257815e-01 9.568627450980391469e-01 2.294333333333333087e+02
9.551384756237125684e-01 9.607843137254902244e-01 2.305999999999999943e+02
9.600061036087587096e-01 9.647058823529411908e-01 2.320000000000000000e+02
9.658350499732967220e-01 9.686274509803921573e-01 2.326666666666666572e+02
9.686121919584954609e-01 9.725490196078431238e-01 2.336999999999999602e+02
9.729152361333638366e-01 9.764705882352940902e-01 2.350999999999999943e+02
9.787594415197985454e-01 9.803921568627450567e-01 2.363000000000000398e+02
9.837491416800182575e-01 9.843137254901960231e-01 2.373666666666666742e+02
9.882047760738537079e-01 9.882352941176471006e-01 2.385000000000000000e+02
9.929198138399328855e-01 9.921568627450980671e-01 2.395999999999999943e+02
9.975127794308384921e-01 9.960784313725490335e-01 2.400666666666666913e+02
9.994506752117189308e-01 1.000000000000000000e+00 2.401999999999999602e+02
