LeftMunsell RightMunsell Radius FramePresent
8.999999999999999112e-01 4.999999999999999445e-01 2.000000000000000000e+01 1.000000000000000000e+00
5.999999999999999778e-01 7.999999999999999334e-01 2.000000000000000000e+01 1.000000000000000000e+00
4.999999999999998890e-02 5.500000000000000444e-01 2.000000000000000000e+01 1.000000000000000000e+00
5.500000000000000444e-01 4.500000000000000111e-01 2.000000000000000000e+01 1.000000000000000000e+00
2.500000000000000000e-01 3.499999999999999778e-01 2.000000000000000000e+01 1.000000000000000000e+00
1.999999999999999833e-01 4.000000000000000222e-01 2.000000000000000000e+01 1.000000000000000000e+00
5.500000000000000444e-01 4.500000000000000111e-01 2.000000000000000000e+01 1.000000000000000000e+00
1.999999999999999833e-01 4.000000000000000222e-01 2.000000000000000000e+01 1.000000000000000000e+00
6.499999999999999112e-01 7.500000000000000000e-01 2.000000000000000000e+01 1.000000000000000000e+00
2.500000000000000000e-01 3.499999999999999778e-01 2.000000000000000000e+01 1.000000000000000000e+00
4.000000000000000222e-01 5.999999999999999778e-01 2.000000000000000000e+01 1.000000000000000000e+00
8.499999999999999778e-01 5.499999999999999334e-01 2.000000000000000000e+01 1.000000000000000000e+00
6.999999999999999556e-01 2.999999999999999889e-01 2.000000000000000000e+01 1.000000000000000000e+00
4.499999999999999556e-01 9.499999999999999556e-01 2.000000000000000000e+01 1.000000000000000000e+00
4.000000000000000222e-01 1.999999999999999833e-01 2.000000000000000000e+01 1.000000000000000000e+00
3.750000000000000000e-01 2.249999999999999778e-01 2.000000000000000000e+01 1.000000000000000000e+00
4.999999999999999445e-01 8.999999999999999112e-01 2.000000000000000000e+01 1.000000000000000000e+00
5.500000000000000444e-01 4.999999999999998890e-02 2.000000000000000000e+01 1.000000000000000000e+00
2.500000000000000000e-01 3.499999999999999778e-01 2.000000000000000000e+01 1.000000000000000000e+00
2.500000000000000000e-01 7.500000000000000000e-01 2.000000000000000000e+01 1.000000000000000000e+00
1.999999999999999833e-01 4.000000000000000222e-01 2.000000000000000000e+01 1.000000000000000000e+00
6.500000000000000222e-01 3.499999999999999778e-01 2.000000000000000000e+01 1.000000000000000000e+00
4.000000000000000222e-01 5.999999999999999778e-01 2.000000000000000000e+01 1.000000000000000000e+00
2.249999999999999778e-01 3.750000000000000000e-01 2.000000000000000000e+01 1.000000000000000000e+00
9.999999999999997780e-02 5.000000000000000000e-01 2.000000000000000000e+01 1.000000000000000000e+00
7.500000000000000000e-01 6.499999999999999112e-01 2.000000000000000000e+01 1.000000000000000000e+00
4.500000000000000111e-01 5.500000000000000444e-01 2.000000000000000000e+01 1.000000000000000000e+00
7.500000000000000000e-01 6.499999999999999112e-01 2.000000000000000000e+01 1.000000000000000000e+00
8.499999999999999778e-01 5.499999999999999334e-01 2.000000000000000000e+01 1.000000000000000000e+00
6.250000000000000000e-01 7.749999999999999112e-01 2.000000000000000000e+01 1.000000000000000000e+00
6.250000000000000000e-01 7.749999999999999112e-01 2.000000000000000000e+01 1.000000000000000000e+00
7.999999999999999334e-01 5.999999999999999778e-01 2.000000000000000000e+01 1.000000000000000000e+00
2.249999999999999778e-01 3.750000000000000000e-01 2.000000000000000000e+01 1.000000000000000000e+00
5.749999999999999556e-01 4.249999999999999889e-01 2.000000000000000000e+01 1.000000000000000000e+00
4.000000000000000222e-01 5.999999999999999778e-01 2.000000000000000000e+01 1.000000000000000000e+00
4.500000000000000111e-01 5.500000000000000444e-01 2.000000000000000000e+01 1.000000000000000000e+00
9.499999999999999556e-01 4.499999999999999556e-01 2.000000000000000000e+01 1.000000000000000000e+00
5.999999999999999778e-01 7.999999999999999334e-01 2.000000000000000000e+01 1.000000000000000000e+00
5.749999999999999556e-01 4.249999999999999889e-01 2.000000000000000000e+01 1.000000000000000000e+00
5.499999999999999334e-01 8.499999999999999778e-01 2.000000000000000000e+01 1.000000000000000000e+00
6.999999999999999556e-01 2.999999999999999889e-01 2.000000000000000000e+01 1.000000000000000000e+00
1.499999999999999944e-01 4.499999999999999556e-01 2.000000000000000000e+01 1.000000000000000000e+00
8.999999999999999112e-01 4.999999999999999445e-01 2.000000000000000000e+01 1.000000000000000000e+00
5.000000000000000000e-01 9.999999999999997780e-02 2.000000000000000000e+01 1.000000000000000000e+00
4.499999999999999556e-01 1.499999999999999944e-01 2.000000000000000000e+01 1.000000000000000000e+00
4.999999999999999445e-01 8.999999999999999112e-01 2.000000000000000000e+01 1.000000000000000000e+00
4.000000000000000222e-01 5.999999999999999778e-01 2.000000000000000000e+01 1.000000000000000000e+00
4.499999999999999556e-01 1.499999999999999944e-01 2.000000000000000000e+01 1.000000000000000000e+00
5.000000000000000000e-01 9.999999999999997780e-02 2.000000000000000000e+01 1.000000000000000000e+00
3.750000000000000000e-01 2.249999999999999778e-01 2.000000000000000000e+01 1.000000000000000000e+00
9.999999999999997780e-02 5.000000000000000000e-01 2.000000000000000000e+01 1.000000000000000000e+00
2.500000000000000000e-01 7.500000000000000000e-01 2.000000000000000000e+01 1.000000000000000000e+00
5.500000000000000444e-01 4.999999999999998890e-02 2.000000000000000000e+01 1.000000000000000000e+00
5.499999999999999334e-01 8.499999999999999778e-01 2.000000000000000000e+01 1.000000000000000000e+00
3.750000000000000000e-01 2.249999999999999778e-01 2.000000000000000000e+01 1.000000000000000000e+00
1.499999999999999944e-01 4.499999999999999556e-01 2.000000000000000000e+01 1.000000000000000000e+00
3.499999999999999778e-01 6.500000000000000222e-01 2.000000000000000000e+01 1.000000000000000000e+00
5.500000000000000444e-01 4.999999999999998890e-02 2.000000000000000000e+01 1.000000000000000000e+00
4.249999999999999889e-01 5.749999999999999556e-01 2.000000000000000000e+01 1.000000000000000000e+00
3.499999999999999778e-01 2.500000000000000000e-01 2.000000000000000000e+01 1.000000000000000000e+00
3.499999999999999778e-01 6.500000000000000222e-01 2.000000000000000000e+01 1.000000000000000000e+00
6.250000000000000000e-01 7.749999999999999112e-01 2.000000000000000000e+01 1.000000000000000000e+00
3.499999999999999778e-01 6.500000000000000222e-01 2.000000000000000000e+01 1.000000000000000000e+00
5.999999999999999778e-01 7.999999999999999334e-01 2.000000000000000000e+01 1.000000000000000000e+00
7.749999999999999112e-01 6.250000000000000000e-01 2.000000000000000000e+01 1.000000000000000000e+00
7.500000000000000000e-01 2.500000000000000000e-01 2.000000000000000000e+01 1.000000000000000000e+00
7.500000000000000000e-01 2.500000000000000000e-01 2.000000000000000000e+01 1.000000000000000000e+00
1.499999999999999944e-01 4.499999999999999556e-01 2.000000000000000000e+01 1.000000000000000000e+00
2.999999999999999889e-01 6.999999999999999556e-01 2.000000000000000000e+01 1.000000000000000000e+00
4.500000000000000111e-01 5.500000000000000444e-01 2.000000000000000000e+01 1.000000000000000000e+00
4.000000000000000222e-01 5.999999999999999778e-01 2.000000000000000000e+01 1.000000000000000000e+00
7.500000000000000000e-01 6.499999999999999112e-01 2.000000000000000000e+01 1.000000000000000000e+00
4.249999999999999889e-01 5.749999999999999556e-01 2.000000000000000000e+01 1.000000000000000000e+00
9.499999999999999556e-01 4.499999999999999556e-01 2.000000000000000000e+01 1.000000000000000000e+00
5.500000000000000444e-01 4.999999999999998890e-02 2.000000000000000000e+01 1.000000000000000000e+00
7.749999999999999112e-01 6.250000000000000000e-01 2.000000000000000000e+01 1.000000000000000000e+00
6.999999999999999556e-01 2.999999999999999889e-01 2.000000000000000000e+01 1.000000000000000000e+00
6.999999999999999556e-01 2.999999999999999889e-01 2.000000000000000000e+01 1.000000000000000000e+00
5.000000000000000000e-01 9.999999999999997780e-02 2.000000000000000000e+01 1.000000000000000000e+00
4.499999999999999556e-01 9.499999999999999556e-01 2.000000000000000000e+01 1.000000000000000000e+00
